	Google Before	Google After	TER
38	HSBC는 범죄 탐지 도구를 뒤집어 새로운 비즈니스 범위를 지정합니다.	HSBC는 Crime-spotting 도구를 새로운 비즈니스를 스코프로 플립합니다.	0.8571
39	영국 은행 HSBC(HSBA.L)가 자금세탁 스캔들의 여파로 구축해야 했던 금융 범죄 탐지 알고리즘을 새로운 비즈니스 기회를 포착할 수 있는 알고리즘으로 전환했다고 은행 임원들이 말했다.	영국 은행 HSBC (HSBA.L)는 금융 범죄 방안 알고리즘을 개조했으며, 은행 임원은 새로운 비즈니스 기회를 적용 할 수있는 돈세탁 스캔들의 일로 건설을 강요 받아야했다.	0.7391
40	이 시스템은 고객의 은행 활동에 대한 데이터와 회사 소유권 및 이사직에 대한 공개 데이터를 결합하여 바람직한 잠재 고객을 HSBC 직원에게 표시하고 기존 관계를 통해 고객과 연결할 수 있는 방법을 제공합니다.	이 시스템은 고객 소유권 및 이사회에 대한 공공 데이터와 함께 고객 소유권 및 이사회에 대한 공공 데이터와 함께 HSBC 직원에게 바람직한 잠재 고객을 플래그로 결합하여 기존 관계를 통해 그들과 연결하는 방법을 제공합니다.	0.5625
41	데이터와 인공 지능을 사용하여 수익을 늘리려는 시도는 임시 CEO인 Noel Quinn의 주요 우선 순위인 대규모 물리적 네트워크와 클라이언트 데이터를 최대한 활용하려는 HSBC의 광범위한 추진의 일부입니다.	데이터 및 인공 지능을 사용하여 수익은 HSBC의 광범위한 푸시의 일부이며, 대규모 물리적 네트워크 및 클라이언트 데이터에서 더 많은 것을 짜내려면 중간 수석 이그제큐티브 Noel Quinn의 핵심 우선 순위입니다.	0.8214
42	"HSBC의 클라이언트 네트워크 뱅킹 글로벌 책임자인 스튜어트 니비슨(Stuart Nivison)은 ""이는 금융 범죄 예방에 대한 투자를 상업적으로 사용한 최초의 방법 중 하나""라며 ""이러한 방식으로 얻는 사업은 본질적으로 위험이 낮고 더 빨리 승리할 수 있다""고 말했다."	"""그것은 금융 범죄 예방에 대한 투자의 첫 번째 상업적 용도 중 하나이며, 우리 가이 방식으로 얻는 사업은 본질적으로 위험이 낮고 이기기에 더 빨리 낮습니다.""라고 HSBC의 클라이언트 네트워크 뱅킹의 글로벌 헤드는 말했습니다."	0.7097
43	"HSBC는 새로운 시스템으로 얼마나 많은 수익을 올릴 수 있을지에 대해서는 언급하지 않았지만 광범위한 ""네트워크 수입"" 이니셔티브는 이미 수억 달러의 추가 수익을 창출했다고 말했습니다."	"HSBC는 새로운 시스템에서 무엇을 할 것으로 기대하는지에 대한 의견을 말하지 만 더 넓은 ""네트워크 수입""이니셔티브가 이미 수백만 달러를 추가로 수익을 올렸습니다."	0.8571
44	이러한 추진력은 일부 분석가와 투자자들이 자본 비용 이하로 수익을 내는 미국과 같은 시장을 축소하거나 철수해야 한다고 말하는 상황에서 글로벌 입지를 방어하려는 은행의 노력의 중요한 부분입니다.	이 드라이브는 일부 분석가와 투자자가 미국과 같은 시장을 수축 시키거나 출격하는 것이 그 자본 비용보다 낮은 시장을 수축 시키거나 출격해야한다고 말하면서 글로벌 존재를 방어하려는 은행의 노력의 중요한 부분입니다.	0.6429
45	HSBC는 2012년 멕시코 지부를 통한 마약 카르텔의 자금 세탁 방지 실패에 대해 미국 당국과 19억 달러 합의의 일환으로 금융 범죄 준수에 수억 달러를 투자해야 했습니다.	HSBC는 멕시코 단위를 통해 약물 카르텔에 의한 돈세탁을 예방하지 못한 은행의 실패에 대한 2012 년에 수백만 달러를 금융 범죄 준수를 위해 수백만 달러를 투자해야했습니다.	0.875
46	이 시스템은 개별 고객을 매핑하여 작동하고 회사는 서로 연결되어 있으며 비정상적인 거래 패턴을 찾거나 해당 엔터티 간의 이전에 알려지지 않은 연결을 발굴합니다.	이 시스템은 개별 고객과 회사가 서로 묶여서 작동 한 다음 비정상적인 트랜잭션 패턴을 찾고 그 엔티티간에 이전에 알 수없는 연결을 알지 못합니다.	0.7273
47	HSBC 무역 사업부의 최고 운영 책임자인 Adrian Rigby는 이 시스템을 통해 이미 400명 이상의 직원이 거래 및 기록을 수동으로 확인하는 작업에서 고객을 돕는 역할로 전환할 수 있다고 말했습니다.	해당 시스템은 이미 400 개 이상의 직원이 거래 및 기록을 수동으로 검사하여 HSBC의 무역 사업의 최고 영업 책임자 인 Adrian Rigby를 고객에게 돕는 데 도움이 될 수있는 클라이언트 직면 역할을 수동으로 검사 할 수 있도록 이동했습니다.	0.8056
48	"HSBC의 니비슨(Nivison)은 전구의 순간이 범죄의 ""적신호""가 아닌 매력적인 잠재 고객의 ""녹색 깃발""을 찾기 위해 도구의 용도를 변경할 수 있다는 것을 깨닫고 있다고 말했습니다."	"HSBC의 Nivison은 전구 순간을 실현하고 있음을 깨닫고 있었다고 말했다. ""붉은 깃발""이 아닌 매력적인 잠재 고객의 ""녹색 깃발""을 찾아 보면서 거부 될 수 있다고 말했다."	0.75
49	"Nivison은 ""우리는 고객 데이터 세트를 가져 와서 (영국) Companies House 데이터와 결합하고 부문, 회사 성장 및 기존 고객과의 연결을 통해 고객의 매력을 찾기 위해 알고리즘을 바꿨습니다.""라고 말했습니다."	"""우리는 고객 데이터 세트를 가져 와서 (영국의) 회사의 회사와 결합하여 분야의 부문, 회사의 성장 및 기존 고객과의 연결 여부를 고객의 매력을 찾기 위해 알고리즘을 돌 렸습니다."	0.4231
50	이 도구는 영국의 2250만 개체와 사람을 매핑했으며 직원이 수동으로 매핑하는 데 3시간이 걸렸을 연결 네트워크를 3분 만에 식별할 수 있다고 그는 말했습니다.	이 도구는 영국에 2250 만 개가 매핑되었으며 직원이 수동으로지도하기 위해 3 시간을 가져 갔을 때 직원이 3 시간을 걸릴 수있는 연결 네트워크에서 3 분 안에 식별 할 수 있습니다.	0.8621
51	Khloe Kardashian의 바람둥이 전 Tristan Thompson은 그녀를 다시 원한다는 소문이 있은 후 Instagram 사진에 또 다른 절망적 인 의견을 남겼습니다.	Khloe Kardashian의 바람둥이 전 Tristan Thompson은 그녀를 다시 원한다는 소문이 있은 후 Instagram 사진에 또 다른 절망적 인 의견을 남겼습니다.	0.0
52	KHLOE Kardashian의 바람둥이 전 Tristan Thompson은 그녀를 다시 원한다는 소문에 따라 Instagram 페이지에 또 다른 절망적인 댓글을 남겼습니다.	KHLOE Kardashian의 바람둥이 전 Tristan Thompson은 그녀를 다시 원한다는 소문에 따라 Instagram 페이지에 또 다른 절망적인 댓글을 남겼습니다.	0.0
53	35세의 이 스타는 가족 친구인 조딘 우즈와 바람을 피웠다는 혐의를 받고 올해 초 NBA 선수를 영구 차버렸다.	35세의 이 스타는 가족 친구인 조딘 우즈와 바람을 피웠다는 혐의를 받고 올해 초 NBA 선수를 영구 차버렸다.	0.0
54	Tristan은 Khloe의 Instagram 페이지에 또 다른 찬사를 남겼습니다.	Tristan은 Khloe의 Instagram 페이지에 또 다른 찬사를 남겼습니다.	0.0
55	그러나 28세의 트리스탄은 싸우지 않고 포기하기를 거부하고 있습니다. 그의 전 남자친구의 최근 셀카에 대해 말도 안되는 칭찬을 남겼습니다.	그러나 28세의 Tristan은 싸우지 않고 포기하기를 거부하고 있습니다. 그의 전 남자친구의 최근 셀카에 대해 말도 안되는 칭찬을 남겼습니다.	0.0556
56	"흐릿하게 찍힌 사진에서 클로이는 떠오르는 태양 앞에 서 있으며 한 엄마는 ""당신이 꿈꾸는 모든 꿈을 탐험할 용기를 가지길 바랍니다""라는 캡션을 남겼다."	"흐릿하게 찍힌 사진에서 클로이는 떠오르는 태양 앞에 서 있으며 한 엄마는 ""당신이 꿈꾸는 모든 꿈을 탐험할 용기를 가지길 바랍니다""라는 캡션을 남겼다."	0.0
57	"공개적으로 논평하면서 Tristan은 ""태양은 아름다운 [다이아몬드 이모티콘]에 밝게 빛나고 있습니다.""라고 썼습니다."	"공개적으로 논평하면서 Tristan은 ""태양은 아름다운 [다이아몬드 이모티콘]에 밝게 빛나고 있습니다.""라고 썼습니다."	0.0
58	"팬들은 이 발언에 분노했고 한 사람은 ""네, 당신이 떨어뜨린 다이아몬드""라고 답했다."	"팬들은 이 발언에 분노했고 한 사람은 ""네, 당신이 떨어뜨린 다이아몬드""라고 답했다."	0.0
59	Tristan은 Khloe가 임신 9개월이었을 때 바람을 피웠습니다.	Tristan은 Khloe가 임신 9개월이었을 때 바람을 피웠습니다.	0.0
60	"또 다른 사람은 ""그냥 인스타그램에서 나가라""고 조언했다."	"또 다른 사람은 ""그냥 인스타그램에서 나가라""고 조언했다."	0.0
61	"세 번째 사람은 이렇게 썼습니다. ""Khloe에 속지 마세요."""	"세 번째 사람은 이렇게 썼습니다. ""Khloe에 속지 마세요."""	0.0
62	"Tristan이 ""Perfection""과 함께 ""Perfection""이라는 글과 함께 리얼리티 스타 중 하나 아래에 있는 하트 아이 이모지, 그리고 그녀가 추측 청바지를 위한 모델링을 본 다른 사진들에 대해 쓴 후입니다."	"Tristan이 ""Perfection""과 함께 ""Perfection""이라는 글과 함께 리얼리티 스타 중 하나 아래에 있는 하트 아이 이모지, 그리고 그녀가 추측 청바지를 위한 모델링을 본 다른 사진들에 대해 쓴 후입니다."	0.0
63	이달 초 The Sun은 Tristan이 Drake의 조언에 따라 Khloe를 되찾기 위해 400,000파운드의 포르쉐를 샀다고 밝혔습니다.	이달 초 The Sun은 Tristan이 Drake의 조언에 따라 Khloe를 되찾기 위해 400,000파운드의 포르쉐를 샀다고 밝혔습니다.	0.0
64	그는 올해 초 카다시안의 가족 친구인 조딘 우즈와 바람을 피운 혐의로 다시 기소됐다.	그는 올해 초 카다시안의 가족 친구인 조딘 우즈와 바람을 피운 혐의로 다시 기소됐다.	0.0
65	"그는 랩퍼 친구의 ""파워 무브""를 요구한 후 911로 생각되는 비통한 선물로 결정했습니다."	"그는 랩퍼 친구의 ""파워 무브""를 요구한 후 911로 생각되는 비통한 선물로 결정했습니다."	0.0
66	결과적으로 친구는 Tristan이 Khloe의 저택에서 'Taco Tuesday' 저녁 식사에 초대를 받아 리얼리티 스타와 17개월 된 딸 True와의 재회에 한 걸음 더 가까이 다가갔다고 말했습니다.	결과적으로 친구들은 Tristan이 Khloe의 맨션에서 'Taco Tuesday' 저녁 식사에 초대받기까지 했다고 말했습니다. 이로써 리얼리티 스타와 17개월 된 딸 True와의 재회에 한 발 더 다가서게 되었습니다.	0.36
67	"한 소식통은 ""Tristan은 Drake와 좋은 친구이며 Kardashian 폴드로의 복귀를 계획할 때 그를 공명판으로 사용하고 있습니다."	"한 소식통은 ""Tristan은 Drake와 좋은 친구이며 Kardashian 폴드로의 복귀를 계획할 때 그를 공명판으로 사용하고 있습니다.""라고 말했습니다."	0.125
68	Khloe는 Tristan의 불충실함에 마음이 상했습니다.	Khloe는 Tristan의 불충실함에 마음이 상했습니다.	0.0
69	"""Drake는 Khloe를 되찾고 싶다면 모든 수단을 동원하라고 말했습니다."	"""Drake는 Khloe를 되찾고 싶다면 모든 수단을 동원하라고 그에게 말했습니다."""	0.2222
70	"""캐주얼한 저녁 식사에 초대하는 것은 세련된 슈퍼카를 위한 합리적인 거래처럼 들리지 않을 수 있습니다."	"""캐주얼한 저녁 식사에 초대하는 것은 세련된 슈퍼카를 위한 합리적인 거래처럼 들리지 않을 수 있습니다."""	0.0714
71	"""하지만 Tristan이 한 일 후에 그는 Khloe가 그를 위해 레드 카펫을 깔기를 기대할 수 없습니다."""	"""하지만 Tristan이 한 일 후에 그는 Khloe가 그를 위해 레드 카펫을 깔기를 기대할 수 없습니다."""	0.0
72	쌍은 17 개월 True의 엄마와 아빠입니다.	부부는 17개월 된 True의 엄마와 아빠입니다.	0.5
73	Khloe Kardashian은 새로운 Keeping Up With Kardashians 시리즈 16 예고편에서 바람 피는 남자 친구 Tristan Thompson에게 눈물과 비명을 질렀습니다.	Khloe Kardashian은 새로운 Keeping Up With Kardashians 시리즈 16 예고편에서 바람을 피우는 남자친구 Tristan Thompson에게 눈물을 흘리며 비명을 지릅니다.	0.3684
74	Sun은 지난달 Tristan이 Khloe를 그리스로 로맨틱한 여행에 초대할 계획이라고 밝혔습니다.	Sun은 지난달 Tristan이 Khloe를 그리스로 로맨틱한 여행에 초대할 계획이라고 밝혔습니다.	0.0
75	Khloe는 Tristan의 반복되는 불륜으로 인해 마음이 상했지만 여전히 올해 초 딸 True의 첫 번째 생일 파티에 그를 초대했습니다.	Khloe는 Tristan의 반복되는 불륜으로 인해 마음이 상했지만 여전히 올해 초 딸 True의 첫 번째 생일 파티에 그를 초대했습니다.	0.0
76	그러나 스타의 가족 리얼리티 쇼 Keep Up With The Kardashians는 나중에 Khloe가 그의 외도를 받아들이기 위해 고군분투하면서 눈물을 흘리며 이벤트가 끝났다는 것을 보여주었습니다.	그러나 스타의 가족 리얼리티 쇼 Keep Up With The Kardashians는 나중에 Khloe가 그의 외도를 받아들이기 위해 고군분투하면서 눈물을 흘리며 이벤트가 끝났다는 것을 보여주었습니다.	0.0
77	갓 태어난 코뿔소가 어미를 재우고 새 집을 탐험하는 모습을 담은 사랑스러운 사진들	사랑 스럽다 사진들은 새로운 태어난 Rhino Nuzzling 그녀의 어머니를 보여주고 새로운 가정을 탐험합니다.	1.0
78	아기 스텔라는 이달 초 옥스퍼드셔주 코츠월드 야생동물 공원에서 세계로 환영받았으며 부모 몬티와 루비 사이에서 태어난 첫 여성입니다.	베이비 스텔라는 이번 달 이전에 Cotswold Wildlife Park, Oxfordshire, Oxfordshire에서 세계로 환영을 받았으며 부모님 님과 루비로 태어난 최초의 여성입니다.	0.7895
79	건강하고 잘 수유중인 젊은이는 짚 침대에서 어머니와 함께 쉬기 전에 자신의 울타리에 대해 궁금해하는 것을 볼 수 있습니다.	건강하고 간호하는 젊은이들은 짚의 침대에서 그녀의 어머니와 함께 쉬기 전에 그녀의 인클로저에 대해 궁금해 할 수 있습니다.	0.5882
80	마더 루비는 2009년 낸시라는 또 다른 여성과 함께 야생 동물 공원에 합류하여 몬티와 함께 ​​공원 최초의 송아지를 낳을 수 있기를 희망했습니다.	어머니 루비 (Mother Ruby)는 2009 년에 야생 동물 공원에 낸시라는 다른 여성과 함께 낸시 (Nancy)라고 불리는 낸시가 몬티로 송아지가 송아지 송아지를 생산할 것입니다.	0.7826
81	그런 다음 Nancy는 2013년 Astrid라는 이름의 암컷을 낳았습니다. Stella는 49년 동안 공원에서 태어난 세 번째 암컷 송아지였습니다.	그런 다음 낸시는 2013 년 아스트리드라는 여성을 낳았으며 스텔라가 49 년 역사에서 공원에서 태어난 세 번째 여성 송아지가되었습니다.	0.6667
82	Cotswold Wildlife Park의 큐레이터인 Jamie Craig는 다음과 같이 말했습니다: '우리는 현재 코뿔소 무리에서 엄청난 성공을 거두었습니다.	"Cotswold Wildlife Park의 큐레이터 인 Jamie Craig는 ""우리는 현재 Rhino 무리에서 엄청난 성공을 거두었습니다."""	0.5714
83	Stella는 Nancy와 Ruby의 여섯 번째 아이이며 우리 황소 Monty는 훌륭한 아빠임이 증명되었습니다.	"""Stella는 낸시와 루비에서 여섯 번째 젊은이이고 황소, 몬티, 훌륭한 아빠 인 것으로 판명되었습니다."""	0.8462
84	'그는 지배적인 황소와 돌보는 족장의 완벽한 조합입니다.	"""그는 지배적 인 황소와 경건한 족장의 완벽한 조합입니다."""	0.625
85	'Ruby가 암컷 송아지를 낳은 것은 특히 만족스럽습니다. 이것은 번식 프로그램의 발전에 필수적이며 Stella는 결국 성공적인 어미가 되기 위해 다른 컬렉션으로 이동할 것입니다.'	"""그것은 특히 루비가 여성 종아리를 만들어 냈습니다. 이들은 육종 프로그램의 발전을 위해 필수적이며 스텔라는 결국 결국 성공적인 어머니가되기 위해 또 다른 컬렉션으로 이동할 것입니다."""	0.7083
86	Ruby는 2015년에 Ian과 2017년에 Alan이라는 두 아들을 낳았습니다.	Ruby는 2015 년에 Ian이 2015 년에 2 명의 소년을 보였습니다.	0.9
87	Alan은 여전히 ​​공원에 있고 Ian은 이탈리아 토리노 동물원에 있습니다.	앨런은 여전히 ​​공원에 있지만 이안은 이탈리아의 토리노 동물원에 있습니다.	0.4444
88	앨런은 태어난 지 일주일밖에 되지 않았을 때 몸무게가 약 11스톤이었습니다.	앨런이 일주일 였을 때, 그는 11 개의 돌 주위에 무게를 잰다.	1.0
