	Segment ID	Source Segment	Ref	MT_Y	MT_Z	Ref_rating	MT_Y_rating	MT_Z_rating	Error	MT_Y_tokens	MT_Z_tokens
10	11	Since Sarah was embroiled in one of the Royal Family's biggest ever scandals, her relationship with the rest of the members has been extremely difficult.	사라 부인이 왕가의 사상 최대 스캔들에 휘말리면서 왕실 구성원들과의 관계가 급격히 나빠졌다.	사라가 왕실 역사상 가장 큰 스캔들에 휘말린 이후, 나머지 멤버들과의 관계는 극도로 어려웠다.	사라가 왕실의 가장 큰 스캔들 중 하나에 휘말린 이후, 나머지 멤버들과의 관계는 매우 어려웠다.	1	1	1	F	사라 가 왕실 역사 상 가장 큰 스캔들 에 휘말린 이후 , 나머지 멤버 들 과 의 관계 는 극도 로 어려웠 다 .	사라 가 왕실 의 가장 큰 스캔들 중 하나 에 휘말린 이후 , 나머지 멤버 들 과 의 관계 는 매우 어려웠 다 .
11	12	"Five months after announcing she was separating from Prince Andrew in 1992, compromising photographs of her with her ""financial advisor"" were taken at her holiday villa in St Tropez."	1992년 사라 부인이 앤드류 공작과 별거 중이라고 발표하고 5개월 뒤에 자신의 프랑스 셍뜨호뻬의 별장에서 그녀의 ‘재정 고문’과 함께 있는 은밀한 사진이 찍혔다.	"1992년 앤드루 왕자와 별거를 선언한 지 5개월 만에 세인트 트로페즈의 휴가용 별장에서 ""금융 고문""과 함께 찍은 사진을 훼손했다."	1992년 앤드류 왕자와 별거 중이라고 발표한 지 5개월 만에 세인트 트로페즈의 휴가 별장에서 '재정 고문'과 함께 찍은 사진을 훼손했다.	1	2	2	F	"1992 년 앤드루 왕자 와 별거 를 선언 한 지 5 개월 만 에 세인트 트 로페즈 의 휴가 용 별장 에서 "" 금융 고문 "" 과 함께 찍 은 사진 을 훼손 했 다 ."	1992 년 앤드류 왕자 와 별거 중 이 라고 발표 한 지 5 개월 만 에 세인트 트 로페즈 의 휴가 별장 에서 ' 재정 고문 ' 과 함께 찍 은 사진 을 훼손 했 다 .
12	13	The snaps appeared to show Texan millionaire John Bryan kissing and sucking the Duchess’ toes and the arch of her foot, and Prince Philip in particular, is said to have had the strongest reaction to her daughter-in-law's scandalous antics.	이 사진에는 텍사스 출신의 백만장자인 존 브라이언이 공작 부인의 발가락과 발바닥을 빨고 키스하는 모습이 담겼고, 특히 필립 공이 며느리의 망측한 스캔들에 가장 격하게 반응했다고 전해진다.	이 스냅은 텍사스 백만장자 존 브라이언이 공작부인의 발가락과 발바닥에 키스하고 빨고 있는 모습을 담은 것으로 나타났으며 특히 필립 왕자가 며느리의 추문에 가장 강한 반응을 보였다고 한다.	이 스냅사진은 텍사스의 백만장자 존 브라이언이 공작부인의 발가락과 발 아치를 키스하고 빨아들이는 모습을 보여주는 것으로 보였으며, 특히 필립 공은 며느리의 추잡한 익살스러움에 가장 강한 반응을 보였다고 한다.	1	1	1	T	이 스냅 은 텍사스 백만장자 존 브라이언 이 공작부인 의 발가락 과 발바닥 에 키스 하 고 빨 고 있 는 모습 을 담 은 것 으로 나타났으며 특히 필립 왕자 가 며느리 의 추문 에 가장 강한 반응 을 보였 다고 한다 .	이 스냅 사진 은 텍사스 의 백만장자 존 브라이언 이 공작부인 의 발가락 과 발 아치 를 키스 하 고 빨아들이 는 모습 을 보여 주 는 것 으로 보였으며 , 특히 필립 공 은 며느리 의 추잡 한 익살 스러움 에 가장 강한 반응 을 보였 다고 한다 .
13	14	"However, his behaviour was reportedly ""appalling"" towards the Duchess of York, and Princess Beatrice once claimed her mother was the victim of ""mean spirited actions to make her feel unwelcome."""	그러나 사라 부인은 시아버지인 필립 공의 이러한 반응에 ‘충격을 받은 것’으로 전해지며, 베아트리스 공주는 자신의 엄마가 “환영 받지 못한다는 느낌을 주려는 그들의 악의적 행동”의 피해자라고 주장한 적도 있다.	"그러나 그의 행동은 요크 공작 부인에 대한 ""끔찍한"" 것으로 알려졌으며 베아트리체 공주는 한때 그녀의 어머니가 ""그녀를 불쾌하게 만들기 위한 비열한 행동의 피해자""라고 주장했다."""	"그러나 그의 행동은 요크 공작 부인에게 ""응징""하고 있었고, 베아트리체 공주는 언젠가 어머니가 ""달갑지 않은 느낌을 주기 위한 의도적인 행동""의 희생자라고 주장했다."	2	1	2	F	"그러나 그 의 행동 은 요크 공작 부인 에 대한 "" 끔찍 한 "" 것 으로 알려졌으며 베아트리체 공주 는 한때 그녀 의 어머니 가 "" 그녀 를 불쾌 하 게 만들 기 위한 비열 한 행동 의 피해자 "" 라고 주장 했 다 . """	"그러나 그 의 행동 은 요크 공작 부인 에게 "" 응징 "" 하 고 있 었 고 , 베아트리체 공주 는 언젠가 어머니 가 "" 달갑 지 않 은 느낌 을 주 기 위한 의도 적 인 행동 "" 의 희생자 라고 주장 했 다 ."
14	15	JUST IN: Kate and William behind closed doors: Couple's shock habit exposed	속보: 케이트와 윌리엄 부부의 이면. 부부의 충격적인 습관이 노출됐다.	케이트와 윌리엄은 밀실 뒤에 있다 커플의 충격습관이 드러났다	바로 그 안에서: 케이트와 윌리엄은 비공개로: 커플의 충격 습관이 드러났다.	1	2	2	T	케이트 와 윌리엄 은 밀실 뒤 에 있 다 커플 의 충격 습관 이 드러났 다	바로 그 안 에서 : 케이트 와 윌리엄 은 비 공개 로 : 커플 의 충격 습관 이 드러났 다 .
15	16	The report noted that the Duchess’ spokesman was unable to comment on the claims, but a friend of Fergie was quoted as saying: “It is no secret that Sarah's daughters are pretty fed up by the way their mother has been treated by some members of the Royal Family.”	이러한 주장에 대해 사라 부인의 대변인이 답변하지 못했다고 뉴스는 보도했지만, 사라 부인의 한 친구의 말을 다음과 같이 인용했다. “사라의 딸들은 왕실의 몇몇 구성원들이 자신의 엄마를 대하는 태도에 질릴 만큼 질렸고 이건 공공연한 사실이다.”	"이 보고서는 공작부인의 대변인이 이 주장에 대해 언급할 수 없다고 언급했지만 퍼거지의 한 친구는 ""사라의 딸들이 그들의 어머니가 왕실 가족들에게 받아온 대우에 상당히 질렸다는 것은 비밀이 아니다""라고 말했다고 한다."	"이 보고서는 공작부인의 대변인이 이 주장에 대해 언급할 수는 없었지만, 퍼기의 한 친구는 ""사라의 딸들이 그들의 어머니가 왕실의 일부 구성원들로부터 대우를 받는 방식에 꽤 진저리가 난다는 것은 비밀이 아니다.""라고 말한 것으로 인용되었다."	1	1	1	T	"이 보고서 는 공작부인 의 대변인 이 이 주장 에 대해 언급 할 수 없 다고 언급 했 지만 퍼 거지 의 한 친구 는 "" 사라 의 딸 들 이 그 들 의 어머니 가 왕실 가족 들 에게 받 아 온 대우 에 상당히 질렸 다는 것 은 비밀 이 아니 다 "" 라고 말 했 다고 한다 ."	"이 보고서 는 공작부인 의 대변인 이 이 주장 에 대해 언급 할 수 는 없 었 지만 , 퍼기 의 한 친구 는 "" 사라 의 딸 들 이 그 들 의 어머니 가 왕실 의 일부 구성원 들 로부터 대우 를 받 는 방식 에 꽤 진저리 가 난다는 것 은 비밀 이 아니 다 . "" 라고 말 한 것 으로 인용 되 었 다 ."
16	17	Some of the bills she has been sent have been pretty miserly.”	“사라가 받은 청구서 중에는 꽤 궁색한 것도 있었다.”	"""그녀가 보낸 지폐들 중 일부는 꽤 구두쇠였습니다."""	"""그녀가 보낸 청구서 중 일부는 꽤 비참했다."""	2	2	1	T	""" 그녀 가 보낸 지폐 들 중 일부 는 꽤 구두쇠 였 습니다 . """	""" 그녀 가 보낸 청구서 중 일부 는 꽤 비참 했 다 . """
17	18	"They are constantly berating their father for allowing it to happen and Beatrice in particular has been imploring Prince Andrew to see that their mother is not treated as an outcast."""	“사라의 딸들은 일이 이렇게까지 되도록 내버려 둔 아버지 앤드류 공을 계속 원망하고 있고, 특히 베아트리스 공주는 엄마가 아웃사이더 취급을 받지 말아야 한다고 아버지한테 간절히 부탁해왔다.”	"베아트리체는 특히 앤드류 왕자에게 어머니가 왕따 취급을 받지 않도록 해달라고 간청했다."""	"""그들은 끊임없이 아버지가 그런 일이 일어나도록 허락했다고 비난하고 있으며, 특히 베아트리체는 앤드류 왕자에게 그들의 어머니가 따돌림을 당하지 않는 것을 보여달라고 간청해 왔다."""	1	2	1	F	"베아트리체 는 특히 앤드류 왕자 에게 어머니 가 왕따 취급 을 받 지 않 도록 해 달 라고 간청 했 다 . """	""" 그 들 은 끊임없이 아버지 가 그런 일 이 일어나 도록 허락 했 다고 비난 하 고 있 으며 , 특히 베아트리체 는 앤드류 왕자 에게 그 들 의 어머니 가 따돌림 을 당하 지 않 는 것 을 보여 달 라고 간청 해 왔 다 . """
18	19	Philip and Sarah were pictured for the first time together in 26 years at Princess Eugenie's wedding to Jack Brooksbank last October.	필립 공과 사라 부인이 함께 사진에 찍힌 것은 지난해 10월 유제니 공주와 잭 브룩스뱅크의 결혼식 이후로 26년 만에 처음이었다.	필립과 사라는 지난 10월 잭 브룩스뱅크와의 유진 공주의 결혼식에서 26년 만에 처음으로 함께 찍은 사진이다.	필립과 사라는 지난 10월 유제니 공주의 잭 브룩스뱅크와의 결혼식에서 26년 만에 처음으로 함께 찍은 사진이다.	1	1	1	F	필립 과 사라 는 지난 10 월 잭 브룩스뱅크 와 의 유진 공주 의 결혼식 에서 26 년 만 에 처음 으로 함께 찍 은 사진 이 다 .	필립 과 사라 는 지난 10 월 유 제니 공주 의 잭 브룩스뱅크 와 의 결혼식 에서 26 년 만 에 처음 으로 함께 찍 은 사진 이 다 .
19	20	Dog control laws to be reviewed in government consultation	애완견 관리법, 정부 심의회에서 검토할 예정	정부 협의 시 반려견 관리법 검토 예정	정부 협의에서 검토될 개 통제법	1	1	2	F	정부 협의 시 반려 견 관리법 검토 예정	정부 협의 에서 검토 될 개 통제법
20	21	Dog control laws in Scotland are being reviewed amid concerns about out-of-control animals and irresponsible owners.	통제 불능의 동물이나 무책임한 소유주에 대한 우려로 스코틀랜드의 애완견 관리법이 검토 중에 있다.	스코틀랜드의 개 사육법은 통제 불능 동물과 무책임한 주인에 대한 우려 속에서 검토되고 있다.	스코틀랜드의 개 관리법은 통제 불능의 동물과 무책임한 주인에 대한 우려 속에 검토되고 있다.	1	3	2	F	스코틀랜드 의 개 사육법 은 통제 불능 동물 과 무 책임 한 주인 에 대한 우려 속 에서 검토 되 고 있 다 .	스코틀랜드 의 개 관리법 은 통제 불능 의 동물 과 무 책임 한 주인 에 대한 우려 속 에 검토 되 고 있 다 .
21	22	A consultation has been launched by the Scottish Government seeking the public's views.	스코틀랜드 정부는 여론 수렴을 위해 심의회를 열었다.	스코틀랜드 정부가 대중의 의견을 구하는 협의가 시작되었다.	스코틀랜드 정부가 대중의 견해를 모색하기 위한 협의가 시작되었다.	1	2	3	F	스코틀랜드 정부 가 대중 의 의견 을 구하 는 협의 가 시작 되 었 다 .	스코틀랜드 정부 가 대중 의 견해 를 모색 하 기 위한 협의 가 시작 되 었 다 .
22	23	"Scotland's Community Safety Minister pledged to ""keep communities safe from irresponsible owners,"" with reviews to determine whether laws for out-of-control dogs need changing."	스코틀랜드의 지역사회안전부 장관은 “무책임한 애완견 소유자로부터 지역사회를 안전하게 보호하겠다”고 약속하며, 통제 불능의 개와 관련된 법안을 수정할지 여부를 결정하기 위해 법안을 검토하고 있다.	"스코틀랜드 사회안전부 장관은 통제불능 개에 대한 법률 개정이 필요한지 여부를 결정하기 위한 검토와 함께 ""무책임한 주인으로부터 지역사회를 안전하게 보호하겠다""고 약속했다."	"스코틀랜드의 지역사회 안전부 장관은 통제 불능 개에 대한 법이 변경되어야 하는지 여부를 결정하기 위한 검토와 함께 ""무책임한 소유주들로부터 지역사회를 안전하게 유지하겠다""고 약속했다."	2	1	1	F	"스코틀랜드 사회 안 전부 장관 은 통제 불능 개 에 대한 법률 개정 이 필요 한지 여부 를 결정 하 기 위한 검토 와 함께 "" 무 책임 한 주인 으로부터 지역 사회 를 안 전하 게 보호 하 겠 다 "" 고 약속 했 다 ."	"스코틀랜드 의 지역 사회 안 전부 장관 은 통제 불능 개 에 대한 법 이 변경 되 어야 하 는지 여부 를 결정 하 기 위한 검토 와 함께 "" 무 책임 한 소유주 들 로부터 지역 사회 를 안 전하 게 유지 하 겠 다 "" 고 약속 했 다 ."
23	24	"Ash Denham MSP said: ""We are holding two reviews into dog control legislation because we are absolutely determined to help keep communities safe from irresponsible owners and their out-of-control dogs."	"애쉬 댄햄 스코틀랜드 의회의원은 다음과 같이 말했다. ""우리는 애완견 관리법의 두 가지 사안에 대해 검토하는 중이다. 왜냐하면 우리가 무책임한 애완견 소유자와 그들의 통제 불가능한 개로부터 지역사회를 안전하게 보호하기로 굳게 결심했기 때문이다.”"	"애쉬 덴햄 MSP는 ""우리는 무책임한 주인들과 통제 불능의 개들로부터 지역사회를 안전하게 지키도록 절대적으로 굳게 결심했기 때문에 개 통제 법률에 대한 두 가지 검토를 하고 있다""고 말했다."	"애쉬 덴햄 MSP는 ""무책임한 주인과 통제 불능의 개들로부터 지역사회를 안전하게 지키기 위해 절대적으로 결심했기 때문에 우리는 개 통제 법안에 대한 두 가지 검토를 하고 있다""고 말했다."	1	2	3	F	"애쉬 덴햄 MSP 는 "" 우리 는 무 책임 한 주인 들 과 통제 불능 의 개 들 로부터 지역 사회 를 안 전하 게 지키 도록 절대 적 으로 굳 게 결심 했 기 때문 에 개 통제 법률 에 대한 두 가지 검토 를 하 고 있 다 "" 고 말 했 다 ."	"애쉬 덴햄 MSP 는 "" 무 책임 한 주인 과 통제 불능 의 개 들 로부터 지역 사회 를 안 전하 게 지키 기 위해 절대 적 으로 결심 했 기 때문 에 우리 는 개 통제 법안 에 대한 두 가지 검토 를 하 고 있 다 "" 고 말 했 다 ."
24	25	This consultation seeks views on improvements on how the Control of Dogs Act 2010 can operate across Scotland, and next year we will take a wider look at all dog control legislation to assess whether changes are needed.	“이번 심의회는 스코틀랜드에서 2010 애완견 관리법의 적용 방법을 개선하기 위한 견해를 모색하고 있고, 내년에는 변화가 필요한지 여부를 평가하기 위해 모든 애완견 관리에 관한 법률을 좀더 거시적으로 살펴볼 예정이다.”	"그는 ""이번 협의는 2010년 개 통제법이 스코틀랜드 전역에서 어떻게 운영될 수 있는지에 대한 개선안을 모색하는 것이며, 내년에는 모든 개 통제 법안을 더 폭넓게 검토해 변화가 필요한지 여부를 평가할 것""이라고 말했다."	"""이 협의는 2010년 개 관리법이 스코틀랜드 전역에서 어떻게 운영될 수 있는지에 대한 개선을 모색하고 있으며, 내년에는 변화가 필요한지 여부를 평가하기 위해 모든 개 관리 법안을 보다 폭넓게 검토할 것이다."	1	2	3	F	"그 는 "" 이번 협의 는 2010 년 개 통제법 이 스코틀랜드 전역 에서 어떻게 운영 될 수 있 는지 에 대한 개선 안 을 모색 하 는 것 이 며 , 내년 에 는 모든 개 통제 법안 을 더 폭넓 게 검토 해 변화 가 필요 한지 여부 를 평가 할 것 "" 이라고 말 했 다 ."	""" 이 협의 는 2010 년 개 관리법 이 스코틀랜드 전역 에서 어떻게 운영 될 수 있 는지 에 대한 개선 을 모색 하 고 있 으며 , 내년 에 는 변화 가 필요 한지 여부 를 평가 하 기 위해 모든 개 관리 법안 을 보다 폭넓 게 검토 할 것 이 다 ."
25	26	"Owning a dog brings with it certain responsibilities, including keeping your dog under effective control, and I encourage everyone with an interest in this area to respond to our consultation."""	“애완견을 키우려면 개를 효과적인 통제하에 두는 등 어느 정도의 책임이 수반된다. 이 사안에 관심이 있는 모든 사람들이 심의회에 참여하길 바란다.”	"""개를 키우는 것은 개를 효과적으로 통제하는 것을 포함한 특정한 책임을 수반하며, 저는 이 분야에 관심이 있는 모든 사람들이 우리의 상담에 응할 것을 권장합니다."""	"""개 한 마리를 키우는 것은 개를 효과적으로 통제하는 것을 포함한 특정한 책임을 수반하며, 나는 이 분야에 관심이 있는 모든 사람들이 우리의 협의에 응하도록 격려한다."""	1	1	2	F	""" 개 를 키우 는 것 은 개 를 효과 적 으로 통제 하 는 것 을 포함 한 특정 한 책임 을 수반 하 며 , 저 는 이 분야 에 관심 이 있 는 모든 사람 들 이 우리 의 상담 에 응할 것 을 권장 합니다 . """	""" 개 한 마리 를 키우 는 것 은 개 를 효과 적 으로 통제 하 는 것 을 포함 한 특정 한 책임 을 수반 하 며 , 나 는 이 분야 에 관심 이 있 는 모든 사람 들 이 우리 의 협의 에 응하 도록 격려 한다 . """
26	27	The consultation runs until January 15 and contains proposals to toughen and clarify the current legislation, including questioning whether a national dog control database should be created.	이 심의회는 1월 15일까지 열리며, 본 법률의 구속력 강화 및 구체화에 대한 제안과 국가 차원의 애완견 관리 데이터베이스 구축 여부에 대한 질문 등을 다룬다.	이번 협의는 1월 15일까지 진행되며 국가 반려견 방제 데이터베이스를 만들어야 하는지를 묻는 등 현행 법률을 강화하고 명확히 하기 위한 제안을 담고 있다.	협의는 1월 15일까지 진행되며, 국가 개 관리 데이터베이스를 만들어야 하는지에 대한 의문을 제기하는 등 현재의 입법을 강화하고 명확히 하기 위한 제안이 포함되어 있다.	1	2	3	F	이번 협의 는 1 월 15 일 까지 진행 되 며 국가 반려 견 방제 데이터베이스 를 만들 어야 하 는지 를 묻 는 등 현행 법률 을 강화 하 고 명확히 하 기 위한 제안 을 담 고 있 다 .	협의 는 1 월 15 일 까지 진행 되 며 , 국가 개 관리 데이터베이스 를 만들 어야 하 는지 에 대한 의문 을 제기 하 는 등 현재 의 입법 을 강화 하 고 명확히 하 기 위한 제안 이 포함 되 어 있 다 .
27	28	The Scottish Parliament's Post-Legislative Scrutiny Committee has been hearing evidence from victims and parents of children who have been attacked or killed by dogs, prompting the Government to review dog control laws.	스코틀랜드 의회 사후적법률심의위원회는 개에게 공격을 당했거나 물려 죽은 아이들의 부모나 피해자들로부터 증언을 듣고, 정부의 애완견 관리법 검토를 촉구하고 있다.	스코틀랜드 의회의 입법 후 정밀 조사 위원회는 개에게 공격당하거나 죽은 아이들의 피해자와 부모로부터 증거를 듣고 있으며, 정부는 개 관리법을 재검토해야 한다.	스코틀랜드 의회의 입법 후 스크루티 위원회는 개들에게 공격받거나 살해된 아이들의 희생자들과 부모들로부터 증거를 듣고 있어 정부가 개 통제법을 검토하도록 만들었다.	1	2	3	F	스코틀랜드 의회 의 입법 후 정밀 조사 위원회 는 개 에게 공격 당하 거나 죽 은 아이 들 의 피해자 와 부모 로부터 증거 를 듣 고 있 으며 , 정부 는 개 관리법 을 재 검토 해야 한다 .	스코틀랜드 의회 의 입법 후 스크루 티 위원회 는 개 들 에게 공격 받 거나 살해 된 아이 들 의 희생자 들 과 부모 들 로부터 증거 를 듣 고 있 어 정부 가 개 통제법 을 검토 하 도록 만들 었 다 .
28	29	MSPs were told the legislation needs urgent reform to protect vulnerable people and children.	노약자와 어린이를 보호하기 위해 본 법률이 시급히 개정되어야 한다는 당부의 목소리가 스코틀랜드 의회의원들에게 전해졌다.	MSP는 취약한 사람들과 아이들을 보호하기 위해 시급한 개혁이 필요하다고 들었다.	MSP들은 그 법안이 취약한 사람들과 아이들을 보호하기 위해 긴급한 개혁이 필요하다는 말을 들었다.	1	3	2	F	MSP 는 취약 한 사람 들 과 아이 들 을 보호 하 기 위해 시급 한 개혁 이 필요 하 다고 들 었 다 .	MSP 들 은 그 법안 이 취약 한 사람 들 과 아이 들 을 보호 하 기 위해 긴급 한 개혁 이 필요 하 다는 말 을 들 었 다 .
29	30	The committee heard that, in Greater Glasgow and Clyde alone, there were 1,417 people arriving at A&E departments with dog-related injuries, 255 of them children, last year.	본 위원회는 지난해 그레이터 글래스고와 클라이드 지역에만 1,417명이 개로 인한 부상으로 응급실에 실려왔으며, 그 중 255명은 어린이였다는 소식을 접했다.	위원회는 지난해 그레이터 글래스고와 클라이드에서만 1,417명이 A&E 부서에 도착했으며 이 중 255명은 어린이였다.	위원회는 그레이터 글래스고와 클라이드에서만 작년에 개와 관련된 부상을 입은 A & E 부서에 1,417명의 사람들이 도착했으며 그 중 255명이 어린이라고 들었습니다.	1	3	2	F	위원회 는 지난해 그 레이터 글래스고 와 클라이드 에서 만 1 , 417 명 이 A & E 부서 에 도착 했으며 이 중 255 명 은 어린이 였 다 .	위원회 는 그 레이터 글래스고 와 클라이드 에서 만 작년 에 개 와 관련 된 부상 을 입 은 A & E 부서 에 1 , 417 명 의 사람 들 이 도착 했으며 그 중 255 명 이 어린이 라고 들 었 습니다 .
