	Source Segment	Segment Origin	Ref_rating	MT_Z_rating	MT_Y_rating
28	Do you know how many other men do things that are much worse than that?	b	1	2	3
29	Williams told U.S. Open officials who entered the court during the match after her confrontation with the umpire.	b	1	3	2
30	Williams wasn't the only one who received a fine at this year's Wimbledon, though hers was the most costly.	b	1	2	2
31	"Italian player Fabio Fognini was fined $3,000 for saying a ""bomb should explode"" at the tennis courts after he lost the third round to U.S. player Tennys Sandgren on Saturday."	b	1	2	3
32	Nick Kyrgios of Australia was hit with two fines ― one for $3,000 and a second for $5,000 ― for unsportsmanlike conduct.	b	1	3	2
33	Thomas Cook pension trustees plot deal to salvage payouts	a	1	2	3
34	Thomas Cook's pension funds have kicked off talks with specialist insurers about a deal to salvage the collapsed travel group's retirement scheme benefits.	a	1	3	2
35	Sky News has learnt that Steve Southern, chair of the trustees, is holding talks with several parties about a buyout deal that would avoid most of Thomas Cook's 14,000 pension scheme members facing a steep cut to their payments.	a	1	3	2
36	Any deal with an insurer would be likely to involve a more modest cut to payouts than the 10% triggered by a pension scheme's transfer into the Pension Protection Fund (PPF) lifeboat.	a	1	3	2
37	The discussions are at a very preliminary stage and — even if successful — will not result in a deal until after the Thomas Cook schemes have been through an assessment by the PPF.	a	3	2	1
38	Thomas Cook bosses face investigation into what led to collapse.	a	1	2	3
39	That period could take up to two years, and if the schemes do enter the PPF will result in roughly 10,000 future pensioners having their payouts cut by 10%.	a	1	2	3
40	"Sources said that a number of pension risk transfer specialists, as well as at least one of the new ""superfund"" consolidation vehicles, were in talks with Thomas Cook's trustees about a deal."	a	3	1	2
41	News of the trustees' efforts to secure members' benefits comes four days after Britain's oldest tour operator ceased trading, sparking an international repatriation programme and triggering thousands of job losses.	a	3	1	2
42	Thomas Cook's descent into insolvency has sparked a bitter blame game, with board members, government ministers and auditors all facing demands to explain their actions in the months before its collapse.	a	1	3	2
43	The company's four pension schemes are well-funded, with a £100m surplus on a PPF basis, according to the latest figures.	a	2	3	1
44	Collectively, they hold assets worth about £1.5bn.	a	2	3	1
45	However, as Sky News revealed last month, the trustees' demands for better terms in Thomas Cook's proposed rescue deal added a further complication to efforts to get the transaction across the line.	a	1	3	2
46	Thomas Cook's liquidation brought to an end 178 years of solvent trading, prompting the launch of inquiries by the government's Insolvency Service, the accounting watchdog and an influential committee of MPs.	a	3	2	1
47	Ministers have established a taskforce to address the crisis, which has left creditors facing meagre returns from the post-insolvency sale of assets.	a	1	2	3
48	To date, just under half of Thomas Cook's overseas British customers have been flown home.	a	1	3	2
49	Its collapse came hours after Thomas Cook issued a last-gasp plea to its lenders to reduce a £200m funding demand.	a	2	2	1
50	What went so wrong for Thomas Cook?	a	1	1	1
51	The talks, which concluded without a deal on Sunday evening, represented a frantic last throw of the dice for a company which had been forced to seek more than £1bn in new funding following a £1.5bn half-year loss and deteriorating trading.	a	1	3	2
52	Thomas Cook was founded in 1841 by a 32-year-old cabinet-maker and former Baptist preacher who began offering one-day rail excursions from Leicester to Loughborough for a shilling.	a	1	2	3
53	From there, it went on to become one of the world's largest holiday companies, marking its 175th anniversary three years ago.	a	1	2	3
54	"A PPF spokesperson said: ""Insolvency events, like the liquidation of Thomas Cook, are exactly why the PPF was set up.”"	a	1	2	3
55	We are here to protect the financial futures of members belonging to defined benefit pension schemes and they should take comfort knowing we are here to protect them.	a	3	1	2
56	A spokesman for Thomas Cook's pension trustees declined to comment on Friday.	a	1	2	1
57	Civility in Politics: New awards scheme set up to counter Westminster division and recognise politicians who show courtesy	b	1	3	2
58	A new awards scheme has been set up to recognise politicians who show courtesy in their work.	b	1	3	2
59	It comes after a divisive week in Westminster following the return of Parliament.	b	1	2	3
60	It was marked by threats against MPs and outrage over the language used by the likes of Prime Minister Boris Johnson.	b	3	1	2
61	"To counter the division, the ""Civility in Politics"" awards were announced on Friday, with the politician of the year to be awarded £3,000 to give to charity."	b	2	3	1
62	Boris Johnson has been criticised for the tone of language he has used in the Commons chamber	b	1	2	2
63	"Lord Stewart, announcing the awards, said: ""Everyone agrees that politics in the UK is facing a crisis of trust and a crisis of civility."	b	1	2	3
64	As divisions and bitterness mount in the continuing debates around Brexit, we strongly believe that politics has to respond not by mirroring these trends, but by bucking them.	b	3	2	1
65	"These awards are a small attempt by a group of people in public life - of different and no political persuasions - to shine a spotlight on politicians who argue their case with decency and civility, and are able to engage and work with people across the divides that affect us all."""	b	1	2	3
66	Nominations will open on Saturday, with an award ceremony in March next year.	b	1	2	2
67	"In an exclusive interview with the Standard, former Cabinet minister Amber Rudd today accused Mr Johnson of deploying aggressive language that ""does incite violence."""	b	1	3	2
68	"Mr Johnson, for his part, said he ""deplores"" threats made against MPs."	b	1	2	3
69	Jess Phillips 'frightened' after receiving 'be afraid' death threats	b	1	2	3
70	"On Thursday, Labour MP Jess Phillips - another one of those to have criticised Mr Johnson - said a man was arrested after trying to ""kick the door"" of her constituency office while reportedly shouting that she was a ""fascist."""	b	1	2	3
71	Liberal Democrat leader Jo Swinson, meanwhile, was speaking to police following threats made to one of her young children.	b	2	3	1
72	And in a viral Twitter thread, Ellie Cooper, the daughter of senior Labour MP Yvette Cooper, described her fears for her mother in the wake of Ms Cox's murder .	b	1	2	3
73	"She accused Mr Johnson of ""using language that helps incite violence toward MPs."""	b	1	3	2
74	The Who STOP concert last night: Friday and Sunday shows CANCELLED	a	1	2	2
75	Rock legends The Who are on a major US tour.	a	1	3	2
76	In Houston, Texas, Roger Daltrey was forced to call off the concert less than halfway through.	a	1	3	2
77	"The 75-year-old told the disappointed audience: ""I think I should quit while I'm ahead."""	a	1	3	2
78	The band had performed eight songs already but promised to try and return for another show one day in the future.	a	1	3	2
79	Watch the video of how it all unfolded on stage.	a	1	2	2
80	After playing classic 1982 track Eminence Front, Daltrey called it quits.	a	1	2	3
81	he has struggled with vocal issues and apparently is under strict instructions from his surgeon.	a	1	3	2
82	The British star told the crowd he couldn't go on with the show:	a	1	1	1
83	If I carry on trying to do what I'm doing for you, I'm going to damage myself.	a	1	2	3
84	 I think I should quit while I'm ahead…	a	1	3	2
85	Last time, I ended up in hospital for a month and I'm not going there again. Sorry.	a	1	3	2
86	"Pete Townshend explained what was going on to the audience: ""It sounds like he cannot do any more, I'm afraid..."""	a	1	3	2
87	The band left the stage, originally suggesting they would try to work out the rest of the set without Roger.	a	1	2	3
88	"When he returned, Townsend said: ""I'm really, really sorry."	a	1	2	3
89	Roger cannot actually speak now.”	a	1	2	3
90	Apparently, before the show, he saw a doctor, and you know, he's been singing so f***ing great through this tour.	a	1	3	2
91	I don't know what the f*** is going on. 	a	1	2	3
92	He has been on top of his game.”	a	1	2	3
93	I'm really sorry this has happened to you guys tonight…	a	2	1	3
94	"I don't think there is much point trying to put anything together that makes any sense because this is Roger's show and he's not in good shape."""	a	1	3	2
95	The crowd was completely supportive, cheering the 74-year-old as he explained what had happened and how the band hoped to return to honour their commitment to the show.	a	1	2	3
96	"Townsend said; ""We will publish a date for our return as soon as we can."	a	2	1	3
97	Let me explain one thing... 	a	1	1	1
98	We only do one day on, one day off.	a	1	3	2
99	"This is because Roger's vocal surgeon insists he has a day off…"""	a	1	2	3
100	I swear to you we will come back and we will honour your tickets.	a	1	3	2
101	I love you so much and I'm sorry to let you down.	a	2	3	1
102	Following the show, the upcoming Friday and Sunday night concerts in Dallas and Denver were cancelled.	a	1	3	2
103	Their next show is on October 9 in San Francisco.	a	2	1	1
104	The band will open their UK tour in Manchester n March 16, 2020.	a	1	2	2
