	Segment ID	Source Segment	Segment Origin	Ref	Ref_rating	MT_Z	MT_Z_rating	MT_Y	MT_Y_rating
10	11	"Tees Valley mayor Ben Houchen said the report described the ""worst findings ever into any police force in the country"" which was ""finally the official validation"" that the force is ""broken"" and said the Home Office needed to intervene now."	b	"벤 허우첸 티즈 밸리 시장은 이 보고서가 ""국내 모든 경찰이 받은 조사를 통틀어 최악의 결과”였으며, 경찰력이 “붕괴되었음을 마침내 공식적으로 검증한 것”이라고 설명했고, 내무부의 즉각적인 개입이 필요하다고 말했다."	1	"벤 후첸 티즈 밸리 시장은 이 보고서가 ""이 나라의 어떤 경찰력에도 최악의 조사 결과""를 묘사했는데, 이는 ""완전히 그 군대가 ""파탄""되었다는 ""공식적인 검증""이며 내무부가 지금 개입할 필요가 있다고 말했다."	2	"벤 후첸 티즈밸리 시장은 이 보고서가 ""국내 경찰력에 대한 사상 최악의 결과""를 묘사하며 ""마침내 경찰력이 무너졌다""며 ""이제 내무부가 개입할 필요가 있다""고 말했다."	3
11	12	"He added: ""It's no longer in dispute."	b	그는 이렇게 덧붙였다. “이제는 더 이상 논란의 대상이 아니다.	2	"그는 덧붙였다 : ""더 이상 논쟁이 아니다."	3	"그는 ""더 이상 논쟁의 여지가 없다""라고 덧붙였다."	1
12	13	It is a fact described in black and white in this report.	b	이 보고서에 이분법적으로 드러난 사실이다.”	1	이 보고서에는 흑백으로 묘사된 사실이다.	2	그것은 이 보고서에서 흑백으로 기술된 사실이다.	2
13	14	The findings are some of the most distressing and shocking I have ever read.	b	"“이번 결과는 지금까지 내가 본 것 중 가장 괴롭고 충격적인 내용이다."""	2	"""그 발견은 내가 읽은 것 중 가장 고통스럽고 충격적인 것 중 하나이다."""	1	"""이 연구 결과는 제가 읽은 것 중 가장 고통스럽고 충격적인 것들입니다."""	2
14	15	Cleveland is one of 15 forces that has been recently inspected by HMICFRS inspectors, and the only one rated inadequate in all areas.	b	클리블랜드는 최근 HMICFRS 감찰관들의 조사를 받은 15개 경찰서 가운데 한 곳으로, 유일하게 전 분야에서 부적합 평가를 받았다.	1	클리블랜드는 최근 HMICFRS 검사관들에 의해 검사를 받은 15개 병력 중 하나이며, 모든 분야에서 유일하게 불충분한 것으로 평가되었다.	2	클리블랜드는 최근 HMICFRS 검사관이 조사한 15개 병력 중 하나로, 전 분야에서 유일하게 부적합 판정을 받았다.	2
15	16	"Gormley added: ""The force doesn't appropriately prioritise crime prevention."	b	곰레이 감찰관은 이렇게 덧붙였다. “클리블랜드 경찰이 범죄 예방을 중시하지 않고 있다.	1	"고믈리는 ""경찰은 범죄 예방을 적절하게 우선시하지 않는다""고 덧붙였다."	2	"고믈리는 ""군대가 범죄 예방의 우선순위를 적절하게 정하지 않는다""고 덧붙였다."	3
16	17	There is a lack of strategic direction, and the force doesn't allocate enough resources to prevention work …	b	전략적인 방향성도 없고 방범에 충분한 재원을 배치하지도 않는다…	1	전략적 방향이 부족하고, 그 힘은 예방 작업에 충분한 자원을 할당하지 않는다...	3	전략적인 방향성이 부족하고, 병력이 예방 작업에 충분한 자원을 할당하지 못하고 있습니다 …	2
17	18	It is failing to respond appropriately to vulnerable people, including children.	b	아동을 비롯한 취약 계층에 제대로 대처하지 못하고 있다.	2	어린이를 포함한 취약계층에 적절하게 대응하지 못하고 있다.	1	아동 등 취약계층에 제대로 대응하지 못하고 있다.	2
18	19	"It is missing opportunities to safeguard them and exposing them to risk."""	b	이들을 보호할 기회를 놓쳤고 이들을 위험에 노출시키고 있다.”	1	"그들을 보호하고 위험에 노출시킬 기회가 없다."""	3	"그들을 보호하고 위험에 노출시킬 기회를 놓치는 것이다."""	2
19	20	"He said senior leaders were not consistently demonstrating ""ethical behaviour,"" and the ""inappropriate behaviour of senior leaders within Cleveland is so profound that it is affecting the efficiency and effectiveness of the force."""	b	"곰레이 감찰관은 고위 지도층이 일관되게 “윤리적으로 행동하지” 않고 있고, “클리블랜드 내 고위 지도층의 부적절한 행위가 너무 심각한 나머지 경찰들의 효율적, 효과적 수사에 지장을 준다""고 말했다."	1	"그는 고위 지도자들이 지속적으로 ""윤리적인 행동""을 보여주지 않았으며 ""클리블랜드 내의 고위 지도자들의 부적절한 행동은 너무 심오해서 힘의 효율성과 효과에 영향을 미치고 있다""고 말했다."	2	"그는 고위 지도자들이 일관되게 ""윤리적인 행동""을 보이는 것은 아니며, ""클리블랜드 내 고위 지도자들의 부적절한 행동은 너무 심오해서 군부의 효율성과 효과에 영향을 미치고 있다""고 말했다."	3
20	21	"He added: ""It doesn't consistently treat its workforce with fairness and respect and it doesn't effectively communicate with or engage its workforce; its processes aren't perceived to be fair and it doesn't understand its workforce well enough to support them."""	b	"허우첸 시장은 이렇게 덧붙였다. ""동료 경찰들을 일관되고 공정하게 대우하지 않고 그들과 효과적으로 소통하거나 교류하지 않는다. 업무 처리 과정도 공정하다는 인식을 받지 못하고 경찰 인력에 대한 파악이 부족해 제대로 지원하지도 못한다.”"	1	"그는 ""그것은 공정성과 존경심으로 일관되게 노동력을 대하지 않으며 노동력과 효과적으로 의사 소통하거나 참여하지 않으며 공정한 것으로 인식되지 않으며 노동력을 충분히지지할만큼 노동력을 잘 이해하지 못한다""고 덧붙였다."	3	"그는 ""일관적으로 공정성과 존중으로 인력을 다루지 않으며 인력과의 효율적인 소통이나 참여를 유도하지 못합니다. 프로세스가 공정하다고 인식되지 않으며 인력을 지원할 수 있을 만큼 충분히 이해하지 못합니다."""	2
21	22	Despite the findings, the force did receive a small amount of praise for the way it tackles serious and organised crime but was told it must improve the way it investigates crimes.	b	감사 결과에도 불구하고, 해당 경찰서는 심각한 조직 범죄를 해결해 약간의 칭찬을 얻었으나 범죄 수사 방식에 개선이 필요하다는 평가를 받았다.	2	이 발견에도 불구하고, 그 군대는 심각하고 조직적인 범죄를 다루는 방식에 대해 소량의 찬사를 받았지만, 범죄를 조사하는 방식을 개선해야 한다는 말을 들었다.	1	이번 조사 결과에도 불구하고, 강력하고 조직적인 범죄에 대처하는 방식에 대해서는 약간의 찬사를 받았지만, 범죄 수사 방식을 개선해야 한다는 말을 들었다.	1
22	23	"The force's police and crime commissioner Barry Coppinger said: ""I am deeply concerned at the worrying contents of this report."	b	"클리블랜드 경찰서의 배리 코핑거 자치경찰서장은 이렇게 말했다. ""이 보고서에 담긴 문제가 되는 내용은 심히 우려가 된다.”"	1	"배리 코핑거 경찰과 범죄담당 집행위원은 ""이 보고서의 걱정스러운 내용에 깊은 우려를 표한다."	1	"배리 코핑거 경찰청장과 범죄국장은 ""이 보고서의 우려스러운 내용에 깊은 우려를 표한다""고 말했다."	2
23	24	The force's recent performance is simply not good enough.	b	"“우리 경찰서의 최근 성과가 한마디로 충분히 좋지 못하다."""	1	"""최근 부대의 활약은 단순히 충분하지 않다."""	2	"그는 ""포스의 최근 활약이 좋지 않다""고 말했다."""	3
24	25	"He said he had received assurances from the current chief constable Richard Lewis that ""swift action"" was taken as soon as he became aware of the failings."	b	"리차드 루이스 현 경찰서장이 이번 문제를 알게 되자마자 즉시 “신속한 조치""를 취하겠다고 확언했었다고 그는 밝혔다."	1	"그는 현재 리처드 루이스 경감으로부터 실패를 알게 되자마자 ""스위프트 액션""이 취해졌다는 확신을 받았다고 말했다."	3	"그는 리처드 루이스 현 경찰청장으로부터 결함을 깨닫자마자 ""신속한 조치""가 취해진다는 확약을 받았다고 말했다."	2
25	26	Coppinger has been ordered by the Home Office to respond to the report within 56 days.	b	코핑거 서장은 56일 안에 해당 보고서에 대해 반응하라는 내무부의 지시를 받았다.	1	코핑거는 내무부로부터 56일 이내에 보고서에 응답하라는 명령을 받았다.	1	Copper는 내무부로부터 56일 이내에 보고서에 응답하라는 명령을 받았다.	2
26	27	"Lewis said the report would act ""as a line in the sand"" for the force, adding: ""Improvements have already been made and I take full responsibility for driving through the changes that are so obviously needed."	b	"루이스 서장은 이 보고서가 경찰력의 “기준점 역할”을 할 것이라고 말하며 다음과 같이 덧붙였다. ""이미 개선이 이루어졌으며, 명백히 필요했던 그 변화를 내가 전적으로 책임지고 추진한다."	1	"루이스는 이 보고서가 ""모래 속의 선""으로 작용할 것이라고 말했다. ""개선은 이미 이루어졌고 나는 분명히 필요한 변화를 운전하는 데 모든 책임을 진다."	3	"루이스는 이 보고서가 ""모래 속의 선""으로 작용할 것이라며 ""개선은 이미 이루어졌으며, 나는 분명히 필요한 변화를 주도할 책임이 있다""고 덧붙였다."	2
27	28	"In the five months I've been here I have met some exceptional police officers and staff, at all levels, and have seen lives saved and vulnerable people protected by the efforts and determination of frontline officers."""	b	지난 5개월 간 여기 있으면서 분야를 막론하고 많은 뛰어난 경찰관과 직원들을 만났고, 일선에 있는 경찰관들의 노력과 의지로 여러 사람들이 목숨을 구제하고 취약 계층이 보호 받는 것을 보았다.”	1	"내가 여기 온 5개월 동안 나는 모든 수준에서 뛰어난 경찰관과 직원들을 만났고, 최전방 경찰관들의 노력과 결단력으로 보호받는 생명을 구하고 취약한 사람들을 보았다."""	2	"지난 5개월 동안 저는 모든 직급에서 뛰어난 경찰관과 직원들을 만나 일선 경찰관의 노력과 결단에 의해 보호되고 있는 생명을 보았습니다."""	3
28	29	If drastic improvements are not made quickly enough, the Government could step in, as it can when prisons are failing.	b	만약 획기적인 개선이 신속하게 시행되지 않을 경우, 교도소에 문제가 발생했을 때처럼 정부가 직접 개입할 수 있다.	2	만약 급격한 개선이 충분히 빨리 이루어지지 않는다면, 정부는 감옥이 실패할 때 할 수 있는 것처럼 개입할 수 있다.	1	만약 급격한 개선이 충분히 빨리 이루어지지 않는다면, 감옥이 무너지고 있을 때 정부가 개입할 수 있다.	3
29	30	But so far politicians have never had to resort to this measure with police forces, inspectors said.	b	그러나 여태껏 정계에서 경찰에 이런 조치를 취한 적은 없었다고 단 한 번도 없었다고 감찰관들은 말했다.	1	그러나 지금까지 정치인들은 경찰과 함께 이 조치에 의존할 필요가 없었다고 사찰단은 말했다.	2	그러나 지금까지 정치인들은 경찰력을 동원해 이 조치에 의존할 필요가 없었다고 조사관들은 말했다.	2
30	31	"Kit Malthouse, minister for crime, policing and fire, said he welcomed the chief constable's ""swift action to address these failings and will be monitoring the position closely,"" adding: ""Transparency and accountability are vital for public trust in policing."	b	"킷 말트하우스 범죄·경찰·소방부 장관은 ""이 같은 문제를 해결하기 위한 경찰서장의 신속한 조치를 환영하며, 현황을 면밀히 감독하겠다""고 말하며 다음과 같이 덧붙였다. “투명성과 책임감은 경찰의 공신력에 있어 필수 요소다.”"	1	"키트 몰트하우스 범죄, 치안, 화재 담당 장관은 ""이러한 실패를 해결하기 위한 경감의 전환 조치를 환영하며 그 위치를 면밀히 감시할 것""이라며 ""투명성과 책임은 치안 유지에 대한 대중의 신뢰에 필수적이다""고 말했다."	2	"킷 맬하우스 경찰청장은 ""경찰에 대한 국민의 신뢰에 투명성과 책임이 매우 중요하다""며 ""경찰에 대한 책임감이 매우 중요하다""고 말했다."	3
31	32	David Attenborough working on new documentary about animals and colour	a	데이비드 애튼버러, 동물과 색상에 대한 새 다큐멘터리 제작해	1	David Attenborough는 동물과 색깔에 관한 새로운 다큐멘터리를 작업하고 있다.	2	동물과 색깔에 관한 새로운 다큐멘터리를 제작하는 데이비드 애튼버러	1
32	33	David Attenborough is 93-years-old but the iconic nature guru is not slowing down just yet.	a	데이비드 애튼버러는 93세의 나이에도 불구하고 자연 분야의 상징적인 권위자로서 활동을 늦추지 않고 있다.	1	데이비드 애튼버러는 93세지만 상징적인 자연 전문가는 아직 속도를 늦추지 않고 있다.	3	데이비드 애튼버러(David Attenborough)는 93세지만 자연계의 상징적인 전문가인 데이비드 애튼버러는 아직 속도를 늦추지 않고 있다.	2
33	34	No, after the success of his groundbreaking Netflix documentary Our Planet, the much loved star is set to return with another series: Life In Colour.	a	그렇다, 그의 획기적인 넷플릭스 다큐멘터리인 ‘우리의 지구’의 성공 이후 사랑받는 스타인 애튼버러는 새로운 시리즈를 통해 컴백할 예정이다. 바로 ‘생명의 색채'이다.	1	아니, 그의 획기적인 넷플릭스 다큐멘터리 '우리 행성'의 성공 이후, 많은 사랑을 받고 있는 이 스타는 또 다른 시리즈인 'Life In Color'로 돌아올 예정이다.	2	아니요, 넷플릭스 다큐멘터리 '아워 플래닛'의 성공 이후, 많은 사랑을 받고 있는 스타는 또 다른 시리즈로 돌아올 예정입니다. '라이프 인 컬러(Life In Color.	3
34	35	This time, the father-of-two will look at how animals use colour in their lives through high-tech cameras that were built especially for the programme.	a	이번에는 두 아이를 둔 애튼버러가 이 프로그램을 위해 특수 제작된 최첨단 카메라를 통해 동물들이 일상생활에서 색상을 어떻게 활용하는지 살펴볼 것이다.	1	이번에는 두 아이의 아버지가 특히 프로그램을 위해 만들어진 첨단 카메라를 통해 동물들이 어떻게 그들의 삶에서 색을 사용하는지 살펴볼 것이다.	2	이번에는, 두 아이의 아버지가 이 프로그램을 위해 특별히 만들어진 첨단 카메라를 통해 동물들이 어떻게 그들의 삶에서 색을 사용하는지 살펴볼 것이다.	1
35	36	"The BBC have revealed that the star aims to show ""a world of colour normally invisible to human eyes"" — and it sounds truly fascinating."	a	"BBC에 따르면, 애튼버러의 목표는 ""보통 인간의 눈으로는 볼 수 없는 색상의 세계""를 보여주는 것이다. 그리고 그건 진심으로 멋질 것 같다."	1	"BBC는 이 스타가 ""일반적으로 인간의 눈에 보이지 않는 색깔의 세계""를 보여주는 것을 목표로 하고 있으며, 그것은 정말 매혹적으로 들린다고 밝혔다."	2	"BBC는 이 스타가 ""보통 사람의 눈에 보이지 않는 색의 세계""를 보여주는 것을 목표로 하고 있다고 밝혔으며, 이는 정말 매력적으로 들린다."	2
36	37	However, despite fans being eager for the upcoming release, it seems we all need to sit tight as it won't be dropping on our screens until 2021.	a	그러나 팬들이 이 신작의 개봉을 손꼽아 기다리고 있긴 하지만, 2021년까지 방영되지 않을 모양인 만큼 우리 모두 그때까지 참고 기다려야 할 것 같다.	1	하지만, 팬들이 다가오는 개봉을 열망하고 있음에도 불구하고, 우리 모두는 2021년까지 스크린에 떨어지지 않을 것이기 때문에 꼼짝 않고 앉아 있을 필요가 있는 것 같다.	2	하지만 팬들이 이번 개봉을 간절히 바라고 있음에도 불구하고 2021년까지 스크린에 떨어지지 않을 것이기 때문에 우리 모두 긴장해야 할 것 같다.	3
37	38	But we're sure it'll be worth the wait.	a	그러나 기다린 보람이 있을 것이라 장담한다.	2	하지만 우리는 그것이 기다릴 가치가 있을 것이라고 확신한다.	1	하지만 기다릴 가치가 있을 거라고 확신해요.	1
38	39	Earlier this month, David was presented with the TV Choice Lifetime Achievement Award, at the prestigious ceremony in London.	a	이달 초, 데이비드는 런던의 한 권위 있는 시상식에서 TV 초이스의 평생 공로상을 수상했다.	2	이달 초, 데이비드는 런던에서 열린 명망 있는 시상식에서 TV 초이스 평생 공로상을 받았다.	1	이달 초, 데이비드는 런던에서 열린 권위 있는 시상식에서 TV Choice Lifetime Achievement Award를 받았다.	1
39	40	The national treasure has entertained millions over his career, which has so far spanned 60 years.	a	국보급 감독인 데이비드는 60년에 걸친 자신의 커리어를 통해 수백만에게 즐거움을 선사했다.	1	그 국보가 그의 경력에 대해 수백만 달러를 즐겁게 해왔는데, 그것은 지금까지 60년 동안 지속되어 왔다.	3	이 국보는 지금까지 60년 동안 그의 경력 동안 수백만 명의 사람들에게 즐거움을 주었다.	2
40	41	"When collecting his gong, the reporter enthused: ""Indeed."	a	수상하는 순간에 그는 열정적으로 말했다. ”사실 그렇다.	1	"기자는 징을 수집할 때 ""실제로."	3	"기자는 징을 수집할 때 ""정말입니다.""라고 열변을 토했다."	2
41	42	What I do isn't always entertaining, and sometimes people hear things they don't like!”	a	내가 하는 일이 항상 즐거운 건 아니다. 때로는 사람들이 원치 않는 내용을 전달하기도 한다!”	1	"내가 하는 일이 항상 재미있지는 않고, 때로는 사람들이 싫어하는 말을 듣는다!"""	3	"제가 하는 일이 항상 즐겁지는 않고, 때때로 사람들은 그들이 좋아하지 않는 말을 듣습니다!"""	2
42	43	But this is an honour and a great pleasure.	a	하지만 이 상은 영광스럽고 매우 기쁜 일이다.	1	"""하지만 이것은 영광이고 큰 기쁨이다."""	1	"""하지만 이것은 영광이고 큰 기쁨입니다."""	1
43	44	"TV Choice said of the winner: ""Still working, learning and making programmes Sir David Attenborough isn't just a British hero, he's a global icon."""	a	"TV 초이스는 수상자인 데이비드에 대해 다음과 같이 말했다. “데이비드 애튼버러 경은 아직도 일하고 배우고 프로그램을 제작하고 있다. 그는 영국의 영웅일 뿐만 아니라 세계적인 아이콘이다."""	1	"TV 초이스는 우승자에 대해 ""데이비드 애튼버러 경은 영국 영웅이 아니라 세계적인 아이콘이다."""	3	"TV 초이스는 수상자에 대해 ""아직도 일하고, 배우고, 프로그램을 만드는 데이비드 애튼버러 경은 영국의 영웅일 뿐 아니라 세계적인 아이콘이다""라고 말했다."	2
44	45	This week, David was celebrated once again as a polar research ship was named after him.	a	이번 주 한 극지방 조사선이 데이비드의 이름을 빌리면서 다시 한번 그가 축하를 받았다.	1	이번 주, 데이비드는 극지 연구선의 이름이 그의 이름을 따서 다시 한번 축하받았다.	2	이번 주, 데이빗은 북극 연구선이 그의 이름을 따서 명명되면서 다시 한번 기념되었다.	3
45	46	The star joined both Prince William and Kate for the naming ceremony in Cammell Laird shipyard in Birkenhead, Merseyside.	a	데이비드는 윌리엄 왕자와 케이트 부부와 함께 머지사이드 비컨헤드에 위치 캐멀 레어드 사의 한 조선소에서 열린 명명식에 참여했다.	2	이 스타는 윌리엄 왕자와 케이트 왕자와 함께 머지사이드 버켄헤드에 있는 캠멜 레어드 조선소에서 명명식을 가졌다.	3	이 스타는 머지사이드 버켄헤드에 있는 카멜 레어드 조선소에서 윌리엄 왕자와 케이트 둘 다와 함께 명명식을 가졌다.	1
46	47	"He said: ""It's no news to any of you that the world is facing great, great problems and the most aware of that are the young people of today, who will inherit this world.”"	a	그는 이렇게 말했다. “지구가 커다란 문제에 직면해 있다는 것은 여러분 모두에게 새로운 소식이 아닐 것이다. 이 사실을 누구보다 잘 알고 있는 건 이 세상을 물려받을 오늘날의 젊은이들이다.”	1	"그는 ""세상이 위대하고 큰 문제에 직면하고 있으며, 그 문제를 가장 잘 알고 있는 사람은 이 세상을 물려받을 오늘날의 젊은이들이라는 것은 여러분 중 누구에게도 새로운 소식이 아니다.""라고 말했다."	3	"그는 ""세계가 크고 큰 문제에 직면해 있다는 것은 여러분에게 새로운 소식이 아니며, 가장 잘 알고 있는 것은 이 세상을 물려받을 오늘날의 젊은이들""이라고 말했다."	2
47	48	Great problems require great research and facts in order to solve them.”	a	엄청난 문제를 해결하기 위해서는 엄청난 연구와 사실이 필요하다.”	1	"""위대한 문제는 그것을 해결하기 위해 훌륭한 연구와 사실이 필요하다."""	2	"""훌륭한 문제는 해결하기 위해 훌륭한 연구와 사실을 필요로 합니다."""	3
48	49	"That's what this astonishing ship will be here to do, to find out the facts and find the science with which to deal with problems that are facing the world today and will increasingly do so tomorrow."""	a	“그래서 이 멋진 선박이 그걸 하기 위해 오늘 여기에 있는 것이다. 사실을 밝혀내고 과학을 발견하기 위해서, 그리고 그걸로 오늘날 우리가 당면한 문제를 해결하기 위해서, 그리고 내일도 그 일을 계속하기 위해서.”	1	"""이 놀라운 배는 오늘 세상을 마주하고 있는 문제들을 다룰 과학을 찾고, 사실을 알아내기 위해, 그리고 내일 점점 더 그렇게 할 것이다."""	3	"""그것이 바로 이 놀라운 우주선이 지금 세계가 직면하고 있는 문제를 해결할 과학과 내일 점점 더 많은 과학을 찾기 위해 이 곳에서 하게 될 것입니다."""	2
49	50	Life In Colour is expected to air on BBC Two in 2021, while it's said Netflix will retain global rights.	a	생명의 색채는 2021년 BBC 2를 통해 방영될 예정이며, 글로벌 판권은 넷플릭스에게 있다고 전해진다.	1	Life In Color는 2021년 BBC Two에서 방영될 것으로 예상되며 넷플릭스는 세계적인 권리를 유지할 것이라고 한다.	2	Life In Color는 2021년 BBC Two에서 방영될 예정이며 넷플릭스는 전세계적인 권리를 유지할 것이라고 한다.	2
50	51	Don't use my wife's name to score points, says husband of murdered MP Jo Cox	b	살해당한 조 콕스 하원의원의 남편, 점수 얻기 위해 내 아내의 이름을 이용하지 마라	1	살해당한 MP 조 콕스의 남편은 내 아내의 이름을 점수 매기기 위해 사용하지 말라고 말한다.	3	살해된 조 콕스 의원의 남편은 내 아내의 이름을 이용해 점수를 따지 말라고 말한다.	2
51	52	The husband of Jo Cox said his wife's name must not be used to score political points after Jeremy Corbyn last night posted footage of the murdered MP to criticise Boris Johnson.	b	어젯밤 제레미 코빈 의원이 보리스 존슨 총리를 비난하기 위해 살해당한 조 콕스 하원의원의 동영상을 게시하자, 콕스 의원의 남편이 자신의 배우자의 이름을 정치적 점수를 얻는 데 이용해서는 안 된다고 말했다.	1	조 콕스의 남편은 어젯밤 제레미 코빈이 보리스 존슨을 비난하기 위해 살해된 하원의원의 영상을 올린 후 아내의 이름을 정치적 점수를 따는 데 사용해서는 안 된다고 말했다.	2	조 콕스의 남편은 제레미 코빈이 어젯밤 보리스 존슨을 비난하기 위해 살해된 하원의원의 영상을 올린 후 그의 아내의 이름이 정치적 점수를 따기 위해 사용되어서는 안 된다고 말했다.	2
