	Segment ID	Source Segment	Segment Origin	Ref	Ref_rating	MT_Z	MT_Z_rating	MT_Y	MT_Y_rating
15	16	It comes as it emerged a vaping-related illness had claimed two more lives, bringing the total number of fatalities to 11.	a	이와 같은 조치는 베이핑 관련 질환으로 인한 사망자가 2명 추가 발생하여 총 11명의 사망자가 발생했기 때문이다.	1	그것은 한 vaping-related 질병이 두명의 생명을 더 요구했고, 총 사망자 수 11명을 가져왔다는 것이 밝혀진 가운데 나온 것이다.	2	이는 도배와 관련된 질병으로 2명이 더 사망하여 총 사망자가 11명으로 늘어났기 때문이다.	3
16	17	Vaping — which involves inhaling a mix typically made of nicotine, water, solvents and flavours — is seen as an alternative to smoking which can help you quit, but its safety is still not entirely known.	a	베이핑은 보통 니코틴, 물, 용제 및 향을 섞은 혼합물을 흡입하는 행위로, 금연을 도와주는 흡연 대체품으로 여겨지고 있으나 그 안전성이 완전히 확인되지는 않았다.	1	일반적으로 니코틴, 물, 용매 및 향료로 만든 혼합물을 흡입하는 것을 포함하는 진공은 담배를 끊는 데 도움이 될 수 있는 흡연의 대안으로 보여지지만, 그 안전성은 아직 완전히 알려져 있지 않다.	3	일반적으로 니코틴, 물, 솔벤트, 향료 등으로 이루어진 혼합물을 흡입하는 베이핑은 금연에 도움이 되는 흡연의 대안으로 여겨지지만, 그 안전성이 아직 완전히 알려진 것은 아니다.	2
17	18	But in the US, more than 500 people are known to have fallen ill with a mysterious lung disease after smoking e-cigarettes.	a	그러나 미국의 경우, 전자담배를 피운 후 원인을 알 수 없는 폐질환을 앓고 있는 사람의 수가 500명을 넘고 있다.	1	그러나 미국에서는 500명 이상의 사람들이 전자담배를 피운 후 신비한 폐질환으로 병에 걸린 것으로 알려져 있다.	2	그러나 미국에서는 500명 이상의 사람들이 전자담배를 피운 후 의문의 폐질환에 걸린 것으로 알려져 있다.	1
18	19	Officials said hundreds of additional cases had been reported in the past week alone.	a	미 당국에서는 지난주에만 수백 건의 추가 사례가 보고되었다고 말했다.	2	관계자들은 지난 한 주 동안만 수백 건의 추가 사례가 보고되었다고 말했다.	1	관계자들은 지난 주에만 수백 건의 추가 사례가 보고되었다고 말했다.	1
19	20	The first deaths in Florida and Georgia were announced on Tuesday and Wednesday.	a	지난 화요일과 수요일, 플로리다주와 조지아주에서 각각 최초 사망자가 발표되었다.	1	플로리다와 조지아에서 첫 사망자가 화요일과 수요일에 발표되었다.	2	플로리다와 조지아에서 발생한 첫 번째 사망자는 화요일과 수요일 발표되었습니다.	2
20	21	Currently 38 states have recorded cases of the illness, with lives lost in eight states.	a	현재 미국 내에서 발병 사례가 기록된 곳은 38개 주로, 그 중 8개 주에서 사망자가 발생했다.	1	현재 38개 주가 이 병의 사례를 기록했으며, 8개 주에서 사망자가 발생했다.	1	현재 38개 주에서 발병 사례가 기록되었으며 8개 주에서 사망자가 발생했다.	1
21	22	"While most patients have reported a history of using products containing THC, the psychoactive compound in cannabis, the patient who died in Georgia on Wednesday reported only ""heavy nicotine vaping."""	a	대부분의 환자들이 대마초에 들어 있는 향정신성 화합물인 THC가 함유된 제품을 사용한 이력이 있다고 밝혔으나, 지난 수요일 조지아주에서 사망한 환자의 경우에는 ‘과도한 니코틴 베이핑’ 이력만 보고되었다.	1	"대부분의 환자들이 대마초의 정신 활성 화합물인 THC가 함유된 제품을 사용한 전력을 보고한 반면, 조지아에서 사망한 환자는 수요일 ""무거운 니코틴 베핑""만을 보고했다."	3	대부분의 환자들이 대마초에 들어 있는 정신작용 화합물인 THC가 함유된 제품을 사용한 이력을 보고했지만 12일 조지아주에서 숨진 환자는 니코틴 베이핑이 심하다는 보고만 나왔다.	2
22	23	"The Centres for Disease Control and Prevention (CDC) has more than 100 officials investigating the cause of the mystery illness, and has warned citizens against smoking e-cigarette products until more is known, particularly if modified or bought ""off the street."""	a	미국 질병통제예방센터에서는 현재 100여 명의 담당자들이 정체불명의 이 질환의 원인을 조사하고 있으며, 시민들에게 더 많은 사실이 밝혀질 때까지 전자담배 제품, 특히 변형 제품이나 “길거리에서 구입한” 제품의 사용을 삼가라고 경고했다.	1	"질병통제예방센터(CDC)는 미스터리 질병의 원인을 조사하는 100명 이상의 관리를 두고 있으며, 특히 ""거리 밖에서"" 수정하거나 구입할 경우 더 많은 것이 알려질 때까지 전자담배 제품을 피우지 말라고 시민들에게 경고했다."	2	"질병통제예방센터(CDC)는 100명 이상의 관리들이 이 미스터리 질병의 원인을 조사하고 있으며, 특히 길거리에서 전자담배 제품을 개조하거나 구입하는 경우 더 많이 알려지기 전까지는 국민들에게 전자담배 제품을 피우지 말라고 경고했다."""	1
23	24	"The First Minister has confirmed the Scottish Government was monitoring developments in the US and elsewhere ""closely,"" following the loss of life that has been attributed to vaping."	a	여당 대표는 베이핑 관련 사망 사고 이후 스코틀랜드 정부가 미국 및 타국의 진행 상황을 “면밀히” 모니터링하고 있다고 밝혔다.	1	"초대 장관은 스코틀랜드 정부가 도박으로 인한 인명 손실에 이어 미국 등지의 발전을 ""밀밀히"" 감시하고 있다는 것을 확인했다."	3	스코틀랜드 정부는 베이핑으로 인한 인명 피해에 이어 미국과 그 밖의 다른 지역의 상황들을 면밀히 감시하고 있다고 제1장관은 확인했다.	2
24	25	She pointed out that to date they have not seen any cases of deaths attributed to vaping being reported in Europe.	a	그녀는 유럽 내에서는 아직까지 베이핑으로 인한 사망 사건은 보고된 바 없다는 사실을 지적했다.	1	그녀는 지금까지 유럽에서 vaping이 보고된 것으로 인한 사망 사례를 보지 못했다고 지적했다.	3	그녀는 현재까지 유럽에서 베이핑으로 인한 사망 사례가 보고되지 않고 있다고 지적했다.	2
25	26	Our approach has been a precautionary one, which is why in Scotland we have already taken the strictest regulatory approach in Europe to vapour products, she said.	a	"우리의 접근 방식은 미연의 방지하는 것이고, 그게 바로 스코틀랜드가 이전부터 유럽에서 베이퍼를 가장 엄격하게 규제하고 있는 이유이다""라고 그녀는 말했다."	1	"""우리의 접근방식은 예방책이었고, 그래서 스코틀랜드에서 우리는 이미 유럽에서 제품을 증기화하기 위해 가장 엄격한 규제 접근법을 취했다""고 그녀는 말했다."	3	"그는 ""우리의 접근방식은 예방적인 것이었으며, 이것이 스코틀랜드가 이미 유럽에서 가장 엄격한 증기제품 규제 방식을 채택한 이유""라고 말했다."	2
26	27	The European tobacco products directive restricts the advertising of e-cigarettes and ensures that e-liquids cannot contain ingredients that are known to be harmful.”	a	담배에 대한 유럽의 지침에 따르면, 전자담배 광고가 제한되어 있고, 액상 전자담배에 유해성이 알려진 성분을 첨가할 수 없다.”	2	"""유럽 담배 제품 지침은 전자담배의 광고를 제한하고 전자 액체가 해로운 것으로 알려진 성분을 함유할 수 없도록 한다."""	1	"""유럽 담배 제품 지침은 전자담배의 광고를 제한하고 전자액체가 유해하다고 알려진 성분을 함유하지 못하도록 하고 있습니다."""	1
27	28	The directive also limits the concentration of nicotine in e-liquids.”	a	“또한, 이에 따르면 액상 전자담배 내 니코틴 농도도 제한되어 있다.”	2	"""이 지침은 또한 e-liquids에서 니코틴의 농도를 제한한다."""	2	"""이 지침은 또한 전자 액체의 니코틴 농도를 제한합니다."""	1
28	29	In Scotland, we have also introduced a retail register and a mandatory age verification scheme and we have funded trading standards departments in all council areas to ensure that retailers comply with the regulations.”	a	“우리 스코틀랜드는 소매 등록 제도 및 의무적 나이 인증 제도를 도입했으며, 모든 의회 구역 내 위치한 거래 규정을 관리하는 부서들을 재정적으로 지원하여 소매점들이 규정을 준수하는지 관리하고 있다.”	1	"""스코틀랜드에서는 소매 등록부와 의무 연령 확인 제도를 도입했으며 소매상들이 규정을 준수하도록 하기 위해 모든 의회 지역의 무역 표준 부서에 자금을 지원했다."""	1	"그는 ""스코틀랜드에서는 소매업 등록부와 의무 연령 확인 제도를 도입했으며 소매업자들이 규정을 준수할 수 있도록 모든 지역의 거래 기준 부서에 자금을 지원했다""고 덧붙였다."	2
29	30	"In the coming months, we will consult on introducing a complete ban on the advertising and promotion of vapour products."""	a	“향후 수개월간 우리는 베이퍼의 광고 및 판촉 활동에 대한 전면 금지 조치를 도입하는 문제에 대해 논의할 예정이다.”	1	"""앞으로 몇 달 안에 증기제품의 광고와 홍보에 대한 완전한 금지를 도입하는 것에 대해 협의할 것이다."""	2	"""앞으로 몇 달 안에 증기 제품의 광고와 홍보를 전면 금지하는 방안을 협의할 것입니다."""	2
30	31	"She added: ""It is important to stress, and for all of us to remember, that those devices are relatively new and, therefore, their impact continues to be studied."	a	그녀는 또한 이렇게 말했다. “이러한 제품들이 비교적 처음이고, 그렇기 때문에 그 영향에 대해 지속적인 연구가 필요하다는 사실을 강조하고 우리 모두가 이를 기억해야 한다.	1	"그는 ""이 장치들이 비교적 새롭고 따라서 그들의 영향이 계속 연구되고 있다는 것을 우리 모두가 기억하는 것이 중요하다""고 덧붙였다."	2	"그는 이어 ""우리 모두가 기억해야 할 중요한 것은 이 장치들이 상대적으로 새로운 것이어서 그 영향이 계속 연구되고 있다는 것이다""고 덧붙였다."	2
31	32	We do not yet fully understand what that impact is, which is why the approach that we have taken has been very cautious.”	a	우리는 아직 그것이 어떤 영향을 주는지 완전히 이해하지 못하고 있으며, 그렇기 때문에 우리가 이 문제에 매우 신중하게 접근하고 있는 것이다.”	1	"우리는 아직 그 영향이 무엇인지 완전히 이해하지 못하기 때문에 우리가 취한 접근법이 매우 신중한 이유입니다. """	2	그 영향이 무엇인지 아직 완전히 이해하지 못했기 때문에 우리가 취한 접근방식은 매우 조심스러웠다고 말했다.	1
32	33	That is perhaps a reason why e-cigarette use remains relatively low in Scotland.”	a	“그것이 아마도 스코틀랜드 국내에서 전자담배 사용률이 비교적 낮은 이유일 것이다.”	1	"""그것이 아마도 스코틀랜드에서 전자담배 사용이 상대적으로 낮은 이유일 것이다."""	1	"""그것이 아마도 스코틀랜드에서 전자담배 사용이 상대적으로 낮은 이유일 것입니다."""	1
33	34	We remain committed to following the best evidence to take any steps necessary to ensure that people are protected from potential harm.”	a	“우리는 국민들을 잠재적 위험으로부터 보호하기 위해 필요한 모든 조치를 취하는 데 가장 타당한 증거를 찾고자 최선을 다할 것이다.	2	"""우리는 사람들이 잠재적인 해악으로부터 보호받을 수 있도록 필요한 조치를 취하기 위해 최선의 증거를 따르는데 전념하고 있다."""	1	"""우리는 사람들이 잠재적 피해로부터 보호받을 수 있도록 필요한 조치를 취하기 위해 최선의 증거를 따르는데 전념하고 있습니다."""	1
34	35	While we already have among the strictest regimes on those products, if the evidence shows that further action is needed... we will not hesitate to take it.	a	"“우리가 이미 해당 제품들에 대해 가장 엄격한 규제를 실시하고 있지만, 추가적인 조치가 필요하다는 증거가 확인될 경우... 망설임 없이 해당 조치를 취할 것이다""라고 말했다."	1	"""우리는 이미 그 제품들에 대한 가장 엄격한 정권들 중 하나이지만, 만약 그 증거가 더 이상의 조치가 필요하다는 것을 보여준다면... 우리는 그것을 주저하지 않을 것이다."""	2	"""이미 이러한 제품에 대해 가장 엄격한 방법을 사용하고 있지만, 그 증거가 추가 조치가 필요하다는 것을 보여준다면... 주저하지 않고 받아들이겠습니다."""	1
35	36	The Next Big Labor Strike Hits Oregon	b	오리건주 강타한 대규모 노동자 파업	2	다음 번 대규모 노동 파업이 오리건 주를 강타하다	1	오리건주, 대규모 노동파업 발생	2
36	37	"The state university workers"" most pressing complaints center on low wages and a lack of dignity at work."	b	이 주립대학교 직원들의 가장 큰 불만은 저임금과 일터에서의 존엄성 부재 문제이다.	2	"주립대 근로자들""가장 긴급한 불만은 낮은 임금과 직장에서의 존엄성 부족에 초점을 맞추고 있다."	1	"""주립 대학 노동자들""이 가장 압박하는 불만사항은 낮은 임금과 직장에서의 품위 부족에 집중되어 있다."	3
37	38	The pay disparities alone are shocking. 	b	임금 격차만 놓고 봐도 충격적이다.	1	임금 격차만 해도 충격적이다.	1	임금 격차만으로도 충격적이다.	1
38	39	About half of these workers earn less than $40,000 per year (and hundreds make less than $25,000). 	b	이들 중 절반 가량은 연봉이 4만 달러 조차 되지 않는다. (그리고 몇 백 명은 25,000달러도 안 된다.)	2	이들 근로자의 약 절반은 연간 4만 달러 미만의 수입을 올리고 있다(그리고 수백 명은 2만 5천 달러 미만을 번다).	1	이들 근로자의 절반 가량은 연간 4만 달러 이하(수백 명이 2만 5천 달러 이하)를 벌고 있다.	1
39	40	"Meanwhile, university presidents"" annual salaries average out to $500,000 and four university athletics coaches are pulling down a cool $1 million. "	b	반면 대학 총장의 연봉은 평균 50만 달러이며 4명의 대학교 선수 코치의 경우는 백만 달러를 훌쩍 넘는다.	1	한편, 대학 총장들의 연봉은 평균 50만 달러, 대학 육상 코치 4명은 100만 달러를 절감하고 있다.	2	한편, 대학 총장들의 연봉은 평균 50만 달러에 달하며, 4명의 대학 체육 코치들이 100만 달러를 끌어내리고 있다.	2
40	41	While school administrators enjoy six-figure salaries and overall administrative spending continues to bloat, one in six classified staffers qualify for food stamps.	b	대학 행정 직원들이 여섯 자리의 연봉을 누리고 전체 행정 지출은 계속 불어남에도 계약직 교직원 6명 중 1명만 식권을 지원 받는다.	1	학교 행정가들은 6자리의 급여를 받고 전반적인 행정 지출은 계속 늘어나고 있지만, 6명의 기밀 직원 중 1명은 식권 자격을 얻는다.	2	학교 관리자들이 6자리의 급여를 받고 전체 행정 지출이 계속 증가하고 있는 반면, 6명의 기밀 직원 중 1명은 식권을 받을 자격이 있다.	2
41	42	"As Alejandro Segurra, another IT worker at Portland State University, said, ""I'm willing to go on strike because I don't think it's fair that people are paid wages that don't allow them to live in the city that they serve."""	b	포틀랜드주립대학교의 IT 직원인 알레한드로 세구라는 “나는 기꺼이 파업할 것이다. 왜냐하면 내가 근무하는 도시에 살 수 없을 정도의 임금을 받는 것은 부당하다고 생각하기 때문이다.”라고 말했다.	1	"포틀랜드 주립대학의 또 다른 IT 직원인 알레한드로 세구라는 ""사람들이 그들이 봉사하는 도시에서 살 수 없는 임금을 받는 것은 공평하지 않다고 생각하기 때문에 파업에 가겠다""고 말했다."	2	"Portland State University의 또 다른 IT 직원인 Alejandro Segurra는 ""사람들이 봉사하는 도시에 거주할 수 없는 임금을 받는 것은 부당하다고 생각하기 때문에 기꺼이 파업에 돌입할 용의가 있다""고 말했다."	2
42	43	"Portland State library worker Theresa Stapleburg was even more direct: ""I want to strike because I've been here 24 years, and I need a raise - a living wage."""	b	포틀랜드주립도서관의 직원인 테레사 스테이플버그는 더 직설적으로 표현했다. “내가 파업하려는 이유는 내가 여기에서 24년간 근무했고, 나는 연봉 인상이 필요하기 때문이다. 생존에 필요한 돈이다.”	1	"포틀랜드 주립 도서관 직원 테레사 스테이플버그는 ""24년 동안 이곳에 있었기 때문에 파업을 하고 싶다""고 말했다."	2	"포틀랜드 주립 도서관 직원인 테리사 스테이플버그는 ""24년 동안 근무해 왔기 때문에 파업을 하고 싶다""며 ""생계급여를 인상해야 한다""고 말했다."""	1
43	44	As inflation climbs and the cost of living in Oregon soars, these workers are being left to flounder, and management has shown little sympathy for their plight. 	b	극심한 인플레이션과 오리건 주의 높은 물가 때문에 이 직원들이 곤경에 처해 있지만, 경영진들은 이들의 처지에 일말의 동정심도 보이지 않고 있다.	1	인플레이션이 상승하고 오리건 주 생활비가 치솟으면서 이들 근로자들은 허둥지둥 방치되고 있으며 경영진은 그들의 곤경에 대해 거의 동정심을 보이지 않고 있다.	2	인플레이션이 상승하고 오리건주 생활비가 치솟으면서 이들 노동자들은 곤혹스러운 상황에 대해 경영진은 별다른 공감을 보이지 않고 있다.	2
44	45	Contract negotiations that began in February broke down in mid-August. 	b	2월에 시작된 임금 협상은 8월 중순에 결렬되었다.	1	지난 2월부터 시작된 계약 협상은 8월 중순 결렬됐다.	1	지난 2월 시작된 계약 협상이 8월 중순 결렬됐다.	1
45	46	At that point, the bosses had laid out some particularly egregious proposals - a paltry cost-of-living increase, a denial of seniority demands from long-term university workers, and a price hike for staff meals - that workers saw as disrespectful, and even cruel.	b	당시 윗선에서는 쥐꼬리만한 생활비 인상이나 대학교 장기 근속 직원의 연공 서열 요구 거부, 직원 식비 인상 등 매우 터무니없는 제안을 했고, 직원들은 이를 무례하고 심지어 잔인하다고까지 여겼다.	1	그 시점에서 상사들은 특히 터무니없는 제안들, 즉 보잘것없는 생활비 인상, 장기 대학 노동자들의 연공서열 요구 거부, 그리고 직원들의 식사 가격 인상 등 근로자들이 무례하고 심지어 잔인하다고 본 몇 가지를 제시했었다.	1	그 시점에, 사장들은 노동자들이 무례하고 심지어 잔인하다고 보는 사소한 생계비 인상, 대학 장기 노동자들의 연공서열 요구 거부, 그리고 직원 급식에 대한 가격 인상 등 특히 터무니없는 제안들을 내놓았다.	2
46	47	There is an unwritten class system at the universities, Fulmer said. 	b	펄머 씨는 “대학교에서는 보이지 않는 계급이 존재한다.”라고 말했다.	1	"풀머 교수는 ""대학에는 불문율 수업제도가 있다""고 말했다."	2	대학에는 불문율 수업 제도가 있다고 풀머는 말했다.	2
47	48	And we are at the bottom of it.	b	“거기서 우리가 제일 밑바닥이다.”	1	"""그리고 우리는 그 밑바닥에 있다."""	1	"""그리고 우리는 그 밑바닥에 있습니다."""	1
48	49	Education workers have been under attack for decades, he continued. 	b	그는 “교육계 종사자들은 수십 년간 피해를 입었다.”라고 말하며,	2	"그는 이어 ""교육 종사자들은 수십 년 동안 공격을 받아왔다""고 덧붙였다."	1	"그는 ""교육 노동자들은 수십 년 동안 공격을 받아왔다""고 덧붙였다."	2
49	50	We are finally standing up and fighting back.	b	“이제 우리가 드디어 일어나서 반격에 나서게 되었다.	2	"""우리는 마침내 일어서서 반격하고 있다."	1	"""우리는 마침내 일어서서 맞서고 있습니다."	1
50	51	It's one thing to see classism and the squeezing of the middle class in the corporate world as executives see their relatively obscene pay continue to go up at rates above inflation. 	b	보통 기업에서 중산층을 계급적으로 차별하고 압박하는 반면 경영진들은 다른 사람에 비해 터무니없이 높은 연봉을 받으며 인플레이션보다 높은 비율로 연봉을 계속 불리는데, 그건 그거다.	2	경영진들이 상대적으로 음란한 급여가 인플레이션보다 높은 비율로 계속 오르고 있다고 보고 있기 때문에, 계급주의와 기업계의 중산층의 압박을 보는 것은 한 가지 일이다.	3	경영진이 상대적으로 터무니없는 급여가 인플레이션보다 계속 오르고 있는 것을 보고 있기 때문에 기업 세계에서 계급주의와 중산층의 압박이 나타나는 것은 한 가지이다.	1
51	52	But for the same thing to be happening in education is not something workers will continue to tolerate.	b	이런 유사한 일이 교육계에서 벌어지는 걸 우리가 계속 용인할 수는 없을 것이다.”	2	"그러나 교육에서도 같은 일이 일어나는 것은 노동자들이 계속 용인할 일이 아니다."""	1	"그러나 같은 일이 교육에서 일어나는 것은 노동자들이 계속 용납할 일이 아니다."""	1
52	53	And Oregon's state university workers aren't the only ones taking action.	b	물론 오리건주립대학교 직원들만 파업에 나선 건 아니다.	2	그리고 오레곤의 주립대학 근로자들만이 조치를 취하는 것은 아니다.	1	오리건 주립대학 직원들만이 조치를 취하는 것은 아니다.	2
53	54	Oregon is a powder keg of militancy right now, and its fuse is now burning bright and hot.	b	오리건은 현재 교전 직전 상태의 화약고나 다름없으며, 그 도화선은 밝고 뜨겁게 타오르고 있다.	1	오레곤은 지금 호전성의 분말통이며, 그 퓨즈는 현재 밝고 뜨겁게 타오르고 있다.	2	오레곤은 지금 전투의 화약고고고 퓨즈는 밝고 뜨겁게 타오르고 있습니다	3
54	55	Grocery store workers at the Fred Meyer supermarket chain are ramping up their campaign against their employer, and while there are no official plans to strike yet, tensions are running high; their union, United Food and Commercial Workers Local 555, has already called for a boycott, and filed an unfair labor practice report against the chain.	b	대형마트 체인인 프레드 메이어의 직원들도 고용주를 상대로 캠페인을 벌이고 있으며, 아직 공식적인 파업 계획은 없지만 긴장이 고조되고 있다. 이곳의 노동조합인 연합 식품 및 상업 노동자 555 지부는 이미 보이콧에 돌입했고 해당 체인을 상대로 불공정 노동 관행 보고서를 제출했다.	2	프레드 마이어 슈퍼마켓 체인의 식료품점 근로자들은 고용주에 대한 캠페인을 강화하고 있으며, 아직 파업할 공식적인 계획은 없지만 긴장이 고조되고 있다; 그들의 노조인 유나이티드 푸드 앤 상업 노동자 지역 555는 이미 보이콧을 요구했고, 체인에 대해 불공정한 노동 관행 보고서를 제출했다.	1	프레드 마이어 슈퍼마켓 체인의 식료품점 노동자들은 고용주에 대한 반대 운동을 강화하고 있으며 아직 파업 계획은 없지만 긴장이 고조되고 있다. 그들의 노조인 '연합식품상업노동자 555'는 이미 보이콧을 요구했으며 체인에 대한 부당한 노동 관행 보고서를 제출했다.	2
