	Ref	Google Before	Google After	TER
26	이 심의회는 1월 15일까지 열리며, 본 법률의 구속력 강화 및 구체화에 대한 제안과 국가 차원의 애완견 관리 데이터베이스 구축 여부에 대한 질문 등을 다룬다.	협의는 1월 15일까지 진행되며 국가 개 통제 데이터베이스를 만들어야 하는지 여부에 대한 질문을 포함하여 현행법을 강화하고 명확히 하기 위한 제안이 포함되어 있습니다.	상담은 1 월 15 일까지 실행되며 국가 개 제어 데이터베이스가 작성되어야하는지 여부를 묻는 질문을 포함하여 현재 법률을 강화하는 제안서를 포함하고 분명히합니다.	0.9524
27	스코틀랜드 의회 사후적법률심의위원회는 개에게 공격을 당했거나 물려 죽은 아이들의 부모나 피해자들로부터 증언을 듣고, 정부의 애완견 관리법 검토를 촉구하고 있다.	스코틀랜드 의회의 입법 후 조사 위원회(Post-Legislative Scrutiny Committee)는 개에게 공격을 받거나 살해당한 어린이의 부모와 피해자로부터 증거를 듣고 있어 정부가 개 통제법을 검토하도록 촉구했습니다.	스코틀랜드 의회의 사후 법적 조사위원회는 개가 공격하거나 살해 한 자녀의 희생자와 부모의 증거를 듣고 정부에 개 통제법을 검토하도록 촉구했습니다.	0.7895
28	노약자와 어린이를 보호하기 위해 본 법률이 시급히 개정되어야 한다는 당부의 목소리가 스코틀랜드 의회의원들에게 전해졌다.	MSP는 취약한 사람들과 어린이를 보호하기 위해 법안이 시급한 개혁이 필요하다는 말을 들었습니다.	MSP는 취약한 사람들과 아이들을 보호하기위한 긴급한 개혁이 필요하다고 들었습니다.	0.7778
29	본 위원회는 지난해 그레이터 글래스고와 클라이드 지역에만 1,417명이 개로 인한 부상으로 응급실에 실려왔으며, 그 중 255명은 어린이였다는 소식을 접했다.	위원회는 작년에 Greater Glasgow와 Clyde에서만 개와 관련된 부상으로 1,417명이 A&E 부서에 도착했으며 그 중 255명이 어린이라고 들었습니다.	위원회는 Glasgow와 Clyde만으로도 개로 관련 부상을 입은 255 명의 어린이들과 255 명의 어린이들과 함께 A & E 부서에 도착했다고 들었습니다.	0.9
30	라나크셔 주의 국민보건소에는 912명이, 에어셔 주의 국민보건소에서는 439명이 치료를 받아 4년 만에 최고치를 기록했다.	NHS Lanarkshire는 912명을 치료했으며 NHS Ayrshire는 439명을 치료했는데 이는 모두 4년 최고치입니다.	NHS Lanarkshire는 912 명의 사람들과 NHS Ayrshire 439, 4 년 최고를 치료했습니다.	0.8333
31	지난 7월, 본 위원회의 의회의원들은 현재의 반려견 관리법이 목적에 부합하지 않는다고 결론 내렸으며 본 법률을 포괄적으로 검토할 것을 스코틀랜드 정부에 촉구하였다.	7월에 위원회의 MSP는 현행 개 통제 법안이 목적에 적합하지 않다는 결론을 내리고 스코틀랜드 정부에 모든 개 통제 법률에 대한 포괄적인 검토를 착수할 것을 촉구했습니다.	7 월에,위원회의 MSP는 현재의 개 통제 법안이 목적을 위해 적합하지 않고 스코틀랜드 정부가 모든 개 제어법에 대한 포괄적 인 검토를 수행하기 위해 부름 받았다.	0.7083
32	제니 마라 의장은 다음과 같이 말했다. “스코틀랜드의 애완견 관리법은 목적에 부합하지 않는다.	"의장 Jenny Marra는 ""스코틀랜드의 개 법은 목적에 적합하지 않습니다."	"케이블 제니 마르라 (Jenny Marra)는 ""스코틀랜드의 개 법은 목적을 위해 적합하지 않습니다."	0.5833
33	여전히 너무 많은 아이들이 개에게 공격을 당하고 있는데, 현행법에 대한 우리의 이해가 부족하고 법의 구속력이 미미하여 그런 사고를 미연에 방지하지 못한다.”	여전히 어린이에 대한 개 공격이 너무 많고 이러한 공격을 방지할 수 있는 현행법에 대한 시행이나 이해가 거의 없습니다.	"어린이에 대한 개 공격이 너무 많아서 이러한 공격을 예방할 수있는 현재의 법률에 대해 적은 집행이나 이해가 거의 없습니다. """	0.5263
34	“현재의 애완견 관리법의 효력이 없다는 것이 분명해졌다.	"""현재의 개 통제법이 효과가 없다는 것이 분명해졌습니다."	"""현재의 개 통제법이 작동하지 않는다는 것은 분명 해졌습니다."	0.625
35	시급히 개정되어 통제가 안 되고 위험한 개를 적절하게 관리해야 한다. 그래야 우리의 아이들이 개로부터 공격을 받지 않는 제도로 나아갈 수 있다.”	통제 불능이고 위험한 개들이 제대로 처리될 수 있도록 시급한 개혁이 필요하고 우리 아이들이 개에게 다치지 않도록 하는 제도로 넘어가도록 노력해야 한다”고 말했다.	"통제력과 위험한 개가 제대로 처리 될 수 있도록 긴급히 개혁을 필요로하고 우리 아이들이 개가 부상당하는 시스템으로 이동하려고 노력할 수 있습니다. """	0.8095
36	금요일 정부 웹사이트에 마련된 본 심의회는 다음과 같이 밝히고 있다. “스코틀랜드 전역에서의 효과적이고 일관된 법률 집행은 통제 불능인 개와 관련된 사안을 다루는 데 있어 핵심적이다.”	금요일에 정부 웹사이트에서 시작된 자문은 다음과 같이 말합니다.	"금요일에 정부의 웹 사이트에서 출시 된 상담은 다음과 같습니다. ""스코틀랜드 전역의 효과적이고 일관된 집행은 통제 개종 개와 관련된 주소 문제를 돕는 근본적입니다."""	0.9091
37	“이번 법률 검토에서는 지역사회의 안전을 위해 힘쓰고 있는 각 지방 정부당국 등 집행 기관을 지원하기 위해 필요한 조치들을 중점적으로 보고 있다.”	"""이 검토는 지역 당국과 같은 집행 기관이 자신의 권한을 사용하여 지역 사회를 안전하게 유지하는 데 도움이 될 수 있는 조치에 중점을 둡니다."""	"""이 리뷰는 지역 사회를 안전하게 유지하는 데 도움이되는 권한을 사용하도록 지방 당국과 같은 집행 기관을 지원하는 데 도움이되는 단계에 중점을두고 있습니다."""	0.7143
38	HSBC, 범죄 추적 시스템 전환하여 신규 사업 모색해	HSBC는 범죄 탐지 도구를 뒤집어 새로운 비즈니스 범위를 지정합니다.	HSBC는 Crime-spotting 도구를 새로운 비즈니스를 스코프로 플립합니다.	0.8571
39	HSBC 영국은행이 과거 자금 세탁 스캔들로 의무적으로 구축했던 자사의 금융범죄 추적 알고리즘을 전환하여 신 사업 모색에 활용하고 있다고 경영진들은 밝혔다.	영국 은행 HSBC(HSBA.L)가 자금세탁 스캔들의 여파로 구축해야 했던 금융 범죄 탐지 알고리즘을 새로운 비즈니스 기회를 포착할 수 있는 알고리즘으로 전환했다고 은행 임원들이 말했다.	영국 은행 HSBC (HSBA.L)는 금융 범죄 방안 알고리즘을 개조했으며, 은행 임원은 새로운 비즈니스 기회를 적용 할 수있는 돈세탁 스캔들의 일로 건설을 강요 받아야했다.	0.7391
40	이 시스템은 HSBC 고객들의 금융 거래 기록과 기업의 소유권 및 경영권 관련 공개 데이터를 결합하여 적절한 잠재 고객을 찾아 직원들에게 알려주고 기존의 네트워크로 그들에게 접근하는 방법도 제공한다.	이 시스템은 고객의 은행 활동에 대한 데이터와 회사 소유권 및 이사직에 대한 공개 데이터를 결합하여 바람직한 잠재 고객을 HSBC 직원에게 표시하고 기존 관계를 통해 고객과 연결할 수 있는 방법을 제공합니다.	이 시스템은 고객 소유권 및 이사회에 대한 공공 데이터와 함께 고객 소유권 및 이사회에 대한 공공 데이터와 함께 HSBC 직원에게 바람직한 잠재 고객을 플래그로 결합하여 기존 관계를 통해 그들과 연결하는 방법을 제공합니다.	0.5625
41	이처럼 HSBC가 데이터와 인공지능으로 수익을 극대화하려는 것은 자사의 방대한 물리적 네트워크와 고객의 데이터를 남김 없이 활용하기 위해 범위를 확장하는 공격적 전략으로, 노엘 퀸 임시 최고경영자가가 최우선으로 생각하고 있는 부분이다.	데이터와 인공 지능을 사용하여 수익을 늘리려는 시도는 임시 CEO인 Noel Quinn의 주요 우선 순위인 대규모 물리적 네트워크와 클라이언트 데이터를 최대한 활용하려는 HSBC의 광범위한 추진의 일부입니다.	데이터 및 인공 지능을 사용하여 수익은 HSBC의 광범위한 푸시의 일부이며, 대규모 물리적 네트워크 및 클라이언트 데이터에서 더 많은 것을 짜내려면 중간 수석 이그제큐티브 Noel Quinn의 핵심 우선 순위입니다.	0.8214
42	HSBC 고객네트워크뱅킹 부서의 스튜어트 나이비슨 글로벌사업 그룹장은 “이번이 금융범죄 예방에 대한 투자를 상업적 용도로 활용한 첫 시도로, 이런 사업 방식은 본질적으로 저위험 고수익이다”라고 밝혔다.	"HSBC의 클라이언트 네트워크 뱅킹 글로벌 책임자인 스튜어트 니비슨(Stuart Nivison)은 ""이는 금융 범죄 예방에 대한 투자를 상업적으로 사용한 최초의 방법 중 하나""라며 ""이러한 방식으로 얻는 사업은 본질적으로 위험이 낮고 더 빨리 승리할 수 있다""고 말했다."	"""그것은 금융 범죄 예방에 대한 투자의 첫 번째 상업적 용도 중 하나이며, 우리 가이 방식으로 얻는 사업은 본질적으로 위험이 낮고 이기기에 더 빨리 낮습니다.""라고 HSBC의 클라이언트 네트워크 뱅킹의 글로벌 헤드는 말했습니다."	0.7097
43	HSBC는 이번 신사업으로 창출될 기대 수익에 대한 언급은 거부했지만 ‘네트워크 확장 수익’ 이니셔티브로 이미 수십억의 추가 수익이 발생했다고 덧붙였다.	"HSBC는 새로운 시스템으로 얼마나 많은 수익을 올릴 수 있을지에 대해서는 언급하지 않았지만 광범위한 ""네트워크 수입"" 이니셔티브는 이미 수억 달러의 추가 수익을 창출했다고 말했습니다."	"HSBC는 새로운 시스템에서 무엇을 할 것으로 기대하는지에 대한 의견을 말하지 만 더 넓은 ""네트워크 수입""이니셔티브가 이미 수백만 달러를 추가로 수익을 올렸습니다."	0.8571
44	몇몇 애널리스트나 투자자들은 수익이 자본금보다 낮은 미국 같은 시장에서 사업 규모를 축소하거나 철수해야 한다고 주장하는 이 시점에 이러한 투자는 HSBC가 자사의 국제적 입지를 고수하기 위한 노력의 중요한 일환이다.	이러한 추진력은 일부 분석가와 투자자들이 자본 비용 이하로 수익을 내는 미국과 같은 시장을 축소하거나 철수해야 한다고 말하는 상황에서 글로벌 입지를 방어하려는 은행의 노력의 중요한 부분입니다.	이 드라이브는 일부 분석가와 투자자가 미국과 같은 시장을 수축 시키거나 출격하는 것이 그 자본 비용보다 낮은 시장을 수축 시키거나 출격해야한다고 말하면서 글로벌 존재를 방어하려는 은행의 노력의 중요한 부분입니다.	0.6429
45	2012년 HSBC는 몇몇 마약 카르텔이 자사의 멕시코 지사를 통해 자금 세탁을 했으나 막지 못해 19억 달러의 벌금으로 미국 정부와 합의를 봤고 그 일환으로 금융범죄를 추적하는 데 수십억을 투자해야 했다.	HSBC는 2012년 멕시코 지부를 통한 마약 카르텔의 자금 세탁 방지 실패에 대해 미국 당국과 19억 달러 합의의 일환으로 금융 범죄 준수에 수억 달러를 투자해야 했습니다.	HSBC는 멕시코 단위를 통해 약물 카르텔에 의한 돈세탁을 예방하지 못한 은행의 실패에 대한 2012 년에 수백만 달러를 금융 범죄 준수를 위해 수백만 달러를 투자해야했습니다.	0.875
46	이 시스템은 개인 고객과 기업의 유대관계를 매핑하여 양측간의 비정상적 거래의 패턴을 찾거나 과거의 드러나지 않은 연결고리를 파헤친다.	이 시스템은 개별 고객을 매핑하여 작동하고 회사는 서로 연결되어 있으며 비정상적인 거래 패턴을 찾거나 해당 엔터티 간의 이전에 알려지지 않은 연결을 발굴합니다.	이 시스템은 개별 고객과 회사가 서로 묶여서 작동 한 다음 비정상적인 트랜잭션 패턴을 찾고 그 엔티티간에 이전에 알 수없는 연결을 알지 못합니다.	0.7273
47	이 시스템 덕분에 이미 직원 400명이 거래 이력을 손수 확인하는 작업에서 해방되어 고객 대면 업무를 맡고 있고, 이에 따라서 그들이 고객을 돕는 데 시간을 더 할애할 수 있게 되었다고 HSBC 무역 금융 부서의 애드리언 릭비 최고운영책임자는 말했다.	HSBC 무역 사업부의 최고 운영 책임자인 Adrian Rigby는 이 시스템을 통해 이미 400명 이상의 직원이 거래 및 기록을 수동으로 확인하는 작업에서 고객을 돕는 역할로 전환할 수 있다고 말했습니다.	해당 시스템은 이미 400 개 이상의 직원이 거래 및 기록을 수동으로 검사하여 HSBC의 무역 사업의 최고 영업 책임자 인 Adrian Rigby를 고객에게 돕는 데 도움이 될 수있는 클라이언트 직면 역할을 수동으로 검사 할 수 있도록 이동했습니다.	0.8056
48	니비슨 HSBC 그룹장은 이 아이디어가 떠올랐던 순간은 이 시스템의 목적을 범법 행위를 감지하는 ‘적신호’가 아닌 매력적인 잠재 고객을 찾는 ‘청신호’를 알리기 위해 쓸 수 있겠다고 깨달았을 때였다고 말했다.	"HSBC의 니비슨(Nivison)은 전구의 순간이 범죄의 ""적신호""가 아닌 매력적인 잠재 고객의 ""녹색 깃발""을 찾기 위해 도구의 용도를 변경할 수 있다는 것을 깨닫고 있다고 말했습니다."	"HSBC의 Nivison은 전구 순간을 실현하고 있음을 깨닫고 있었다고 말했다. ""붉은 깃발""이 아닌 매력적인 잠재 고객의 ""녹색 깃발""을 찾아 보면서 거부 될 수 있다고 말했다."	0.75
49	그는 “우리는 우리가 가지고 있는 고객 데이터와 (영국) 기업 내부 데이터를 결합하여 알고리즘을 우회시켜 고객의 매력도를 측정했다. 그 데이터가 사업 분야나 기업 성장도, 기존 고객과의 관계든 뭐든 말이다.”라고 밝혔다.	"Nivison은 ""우리는 고객 데이터 세트를 가져 와서 (영국) Companies House 데이터와 결합하고 부문, 회사 성장 및 기존 고객과의 연결을 통해 고객의 매력을 찾기 위해 알고리즘을 바꿨습니다.""라고 말했습니다."	"""우리는 고객 데이터 세트를 가져 와서 (영국의) 회사의 회사와 결합하여 분야의 부문, 회사의 성장 및 기존 고객과의 연결 여부를 고객의 매력을 찾기 위해 알고리즘을 돌 렸습니다."	0.4231
50	현재 이 시스템에는 영국의 2,250만 개의 기업과 사람이 매핑되어 있어, 상호 연관 관계를 파악하는 데 한 직원이 수작업으로 3시간 걸릴 일을 3분이면 해낸다.	이 도구는 영국의 2250만 개체와 사람을 매핑했으며 직원이 수동으로 매핑하는 데 3시간이 걸렸을 연결 네트워크를 3분 만에 식별할 수 있다고 그는 말했습니다.	이 도구는 영국에 2250 만 개가 매핑되었으며 직원이 수동으로지도하기 위해 3 시간을 가져 갔을 때 직원이 3 시간을 걸릴 수있는 연결 네트워크에서 3 분 안에 식별 할 수 있습니다.	0.8621
51	클로이 카다시안의 바람 핀 전 연인 트리스턴 톰슨, 재결합 원한다는 소문 후 그녀의 인스타그램 사진에 절박한 댓글 또 남겨	Khloe Kardashian의 바람둥이 전 Tristan Thompson은 그녀를 다시 원한다는 소문이 있은 후 Instagram 사진에 또 다른 절망적 인 의견을 남겼습니다.	Khloe Kardashian의 바람둥이 전 Tristan Thompson은 그녀를 다시 원한다는 소문이 있은 후 Instagram 사진에 또 다른 절망적 인 의견을 남겼습니다.	0.0
52	클로이 카다시안과 교제 당시 바람을 폈던 그녀의 전 연인 트리스턴 톰프슨이 재결합을 원한다는 소문이 돌고 나서 그가 그녀의 인스타그램에 또 한 차례 절박한 코멘트를 남겼다.	KHLOE Kardashian의 바람둥이 전 Tristan Thompson은 그녀를 다시 원한다는 소문에 따라 Instagram 페이지에 또 다른 절망적인 댓글을 남겼습니다.	KHLOE Kardashian의 바람둥이 전 Tristan Thompson은 그녀를 다시 원한다는 소문에 따라 Instagram 페이지에 또 다른 절망적인 댓글을 남겼습니다.	0.0
53	유명인인 클로이(35)는 올해 초 NBA 선수인 톰슨이 그녀의 가족과 절친이었던 조딘 우즈와 바람을 피우다 걸리자 그와 완전히 결별했다. 톰슨은 과거 그녀가 딸 트루를 임신한 지 9개월이 되었을 때에도 바람을 핀 전력이 있다.	35세의 이 스타는 가족 친구인 조딘 우즈와 바람을 피웠다는 혐의를 받고 올해 초 NBA 선수를 영구 차버렸다.	35세의 이 스타는 가족 친구인 조딘 우즈와 바람을 피웠다는 혐의를 받고 올해 초 NBA 선수를 영구 차버렸다.	0.0
54	트리스턴이 또 한번 클로이의 인스타그램 페이지에 과장된 칭찬을 남긴 것이 확인되었다.	Tristan은 Khloe의 Instagram 페이지에 또 다른 찬사를 남겼습니다.	Tristan은 Khloe의 Instagram 페이지에 또 다른 찬사를 남겼습니다.	0.0
