	Segment ID	Before_tokens	After_tokens	TER
26	27	이번 협의 는 1 월 15 일 까지 진행 되 며 국가 반려 견 방제 데이터베이스 를 만들 어야 하 는지 를 묻 는 등 현행 법률 을 강화 하 고 명확히 하 기 위한 제안 을 담 고 있 다 .	이번 협의 는 1 월 15 일 까지 진행 되 며 국가 반려 견 방제 데이터베이스 를 만들 어야 하 는지 를 묻 는 등 현행 법률 을 강화 하 고 명확히 하 기 위한 제안 을 담 고 있 다 .	0.0
27	28	스코틀랜드 의회 의 입법 후 정밀 조사 위원회 는 개 에게 공격 당하 거나 죽 은 아이 들 의 피해자 와 부모 로부터 증거 를 듣 고 있 으며 , 정부 는 개 관리법 을 재 검토 해야 한다 .	스코틀랜드 의회 의 입법 후 정밀 조사 위원회 는 개 에게 공격 당하 거나 죽 은 아이 들 의 피해자 와 부모 로부터 증거 를 듣 고 있 으며 , 정부 는 개 관리법 을 재 검토 해야 한다 .	0.0
28	29	MSP 는 취약 한 사람 들 과 아이 들 을 보호 하 기 위해 시급 한 개혁 이 필요 하 다고 들 었 다 .	MSP 는 취약 한 사람 들 과 아이 들 을 보호 하 기 위해 시급 한 개혁 이 필요 하 다고 들 었 다 .	0.0
29	30	위원회 는 지난해 그 레이터 글래스고 와 클라이드 에서 만 1 , 417 명 이 A & E 부서 에 도착 했으며 이 중 255 명 은 어린이 였 다 .	위원회 는 지난해 그 레이터 글래스고 와 클라이드 에서 만 1 , 417 명 이 A & E 부서 에 도착 했으며 이 중 255 명 은 어린이 였 다 .	0.0
30	31	NHS 래너크 셔 는 912 명 을 치료 했 고 NHS 에어셔 는 439 명 을 치료 했 는데 이 는 모두 4 년 만 에 최고 치였 다 .	NHS 래너크 셔 는 912 명 을 치료 했 고 NHS 에어셔 는 439 명 을 치료 했 는데 이 는 모두 4 년 만 에 최고 치였 다 .	0.0
31	32	지난 7 월 , 위원회 MSP 는 현행 개 관리 법규 가 목적 에 맞 지 않 는다고 결론짓 고 스코틀랜드 정부 에 모든 개 관리 법률 에 대한 포괄 적 인 검토 를 착수 할 것 을 요구 했 다 .	지난 7 월 , 위원회 MSP 는 현행 개 관리 법규 가 목적 에 맞 지 않 는다고 결론짓 고 스코틀랜드 정부 에 모든 개 관리 법률 에 대한 포괄 적 인 검토 를 착수 할 것 을 요구 했 다 .	0.0
32	33	"컨 벤터 제니 마 라는 "" 스코틀랜드 의 개법 은 목적 에 맞 지 않 는다 ."	"컨 벤터 제니 마 라는 "" 스코틀랜드 의 개법 은 목적 에 맞 지 않 는다 ."	0.0
33	34	아직 도 아이 들 에 대한 개 들 의 공격 이 너무 많 고 , 이러 한 공격 을 막 을 수 있 는 현행 법 에 대한 시행 이나 이해 는 거의 없 다 .	"여전히 어린이 들 에 대한 개 들 의 공격 이 너무 많 고 , 이러 한 공격 을 막 을 수 있 는 현행 법 에 대한 시행 이나 이해 는 거의 없 습니다 . """	0.1389
34	35	""" 현행 개 관리법 이 효력 을 발휘 하 지 못한다는 것 이 명백 해졌 습니다 ."	""" 현행 개 관리법 이 효력 을 발휘 하 지 못한다는 것 이 명백 해졌 습니다 ."	0.0
35	36	"걷잡 을 수 없이 위험 한 개 들 이 제대로 대처 하 고 , 우리 아이 들 이 개 에게 다치 는 것 을 막 는 시스템 으로 옮겨갈 수 있 도록 시급 한 개혁 이 필요 하 다 . """	"걷잡 을 수 없이 위험 한 개 들 이 제대로 대처 하 고 , 우리 아이 들 이 개 에게 다치 는 것 을 막 는 시스템 으로 옮겨갈 수 있 도록 시급 한 개혁 이 필요 하 다 . """	0.0
36	37	"지난 금요일 정부 웹 사이트 에서 시작 된 이 협의 는 "" 스코틀랜드 전역 에서 효과 적 이 고 일관 된 시행 은 통제 불능 의 개 들 과 관련 된 문제 들 을 해결 하 는 데 있 어 근본 적 인 것 이 다 ."	"금요일 정부 웹 사이트 에서 시작 된 이 협의 는 "" 스코틀랜드 전역 에서 효과 적 이 고 일관 된 시행 은 통제 불능 의 개 들 과 관련 된 문제 들 을 해결 하 는 데 도움 을 주 는 데 있 어 기본 "" 이라고 말 한다 ."	0.24
37	38	""" 이번 검토 는 지방 당국 과 같 은 집행 기관 이 지역 사회 의 안전 을 위해 힘 을 사용 하 기 때문 에 그 들 을 돕 기 위해 취할 수 있 는 조치 들 에 초점 을 맞추 고 있 습니다 . """	""" 이번 검토 는 지방 당국 과 같 은 집행 기관 이 지역 사회 의 안전 을 위해 힘 을 사용 하 기 때문 에 그 들 을 돕 기 위해 취할 수 있 는 조치 들 에 초점 을 맞추 고 있 습니다 . """	0.0
38	39	HSBC 는 범죄 탐지 툴 을 전환 하 여 새로운 비즈니스 범위 를 정 합니다 .	HSBC 는 범죄 탐지 툴 을 전환 하 여 새로운 비즈니스 범위 를 정 합니다 .	0.0
39	40	"영국 은행 HSBC ( HSBA ) 은행 임원 들 은 "" 엘 ) 이 돈세탁 스캔들 이후 어쩔 수 없이 구축 한 금융 범죄 탐지 알고리즘 을 새로운 사업 기회 를 포착 할 수 있 는 알고리즘 으로 전환 했 다 "" 고 말 했 다 ."	"영국 은행 HSBC ( HSBA ) 은행 임원 들 은 "" 엘 ) 이 돈세탁 스캔들 이후 어쩔 수 없이 구축 한 금융 범죄 탐지 알고리즘 을 새로운 사업 기회 를 포착 할 수 있 는 알고리즘 으로 전환 했 다 "" 고 말 했 다 ."	0.0
40	41	이 시스템 은 고객 의 은행 활동 에 대한 데이터 와 회사 소유 권 및 이사 권 에 대한 공개 데이터 를 결합 하 여 HSBC 직원 에게 바람직 한 잠재 고객 을 표시 하 고 기존 관계 를 통해 고객 과 연결 할 수 있 는 방법 을 제공 합니다 .	이 시스템 은 고객 의 은행 활동 에 대한 데이터 와 회사 소유 권 및 이사 권 에 대한 공개 데이터 를 결합 하 여 HSBC 직원 에게 바람직 한 잠재 고객 을 표시 하 고 기존 관계 를 통해 고객 과 연결 할 수 있 는 방법 을 제공 합니다 .	0.0
41	42	데이터 와 인공지능 을 사용 하 여 수익 을 증대 하 는 것 은 HSBC 가 대 규모 물리 적 네트워크 와 고객 데이터 를 더 많이 확보 하 려는 광범위 한 노력 의 일환 이 며 , 이 는 임시 CEO 노엘 퀸 의 핵심 우선 순위 이 다 .	데이터 와 인공지능 을 사용 하 여 수익 을 증대 하 는 것 은 HSBC 가 대 규모 물리 적 네트워크 와 고객 데이터 를 더 많이 확보 하 려는 광범위 한 노력 의 일환 이 며 , 이 는 임시 CEO 노엘 퀸 의 핵심 우선 순위 이 다 .	0.0
42	43	"HSBC 의 글로벌 고객 네트워크 뱅킹 책임자 인 스튜어트 니 비슨 은 "" 금융 범죄 예방 에 대한 투자 를 상업 적 으로 처음 사용 하 는 방법 중 하나 이 며 , 이러 한 방식 으로 우리 가 얻 고 있 는 비즈니스 는 본질 적 으로 리스크 가 적 고 더 빨리 승리 할 수 있 다 "" 고 말 했 다 ."	"HSBC 의 글로벌 고객 네트워크 뱅킹 책임자 인 스튜어트 니 비슨 은 "" 금융 범죄 예방 에 대한 투자 를 상업 적 으로 처음 사용 하 는 방법 중 하나 이 며 , 이러 한 방식 으로 우리 가 얻 고 있 는 비즈니스 는 본질 적 으로 리스크 가 적 고 더 빨리 승리 할 수 있 다 "" 고 말 했 다 ."	0.0
43	44	"HSBC 는 새로운 시스템 을 통해 얼마 를 벌 수 있 을지 에 대해서 는 언급 하 지 않 았 지만 , 더 넓 은 "" 네트워크 수익 "" 계획 은 이미 수억 달러 의 추가 수익 을 창출 했 다고 말 했 다 ."	"HSBC 는 새로운 시스템 을 통해 얼마 를 벌 수 있 을지 에 대해서 는 언급 하 지 않 았 지만 , 더 넓 은 "" 네트워크 수익 "" 계획 은 이미 수억 달러 의 추가 수익 을 창출 했 다고 말 했 다 ."	0.0
44	45	일부 분석가 들 과 투자자 들 이 미국 처럼 자본 비용 이하 로 수익 을 내 는 시장 을 축소 하 거나 빠져나가 야 한다고 말 하 는 상황 에서 , 이 같 은 움직임 은 은행 의 세계 적 인 입지 를 방어 하 기 위한 노력 의 중요 한 부분 이 다 .	일부 분석가 들 과 투자자 들 이 미국 처럼 자본 비용 이하 로 수익 을 내 는 시장 을 축소 하 거나 빠져나가 야 한다고 말 하 는 상황 에서 , 이 같 은 움직임 은 은행 의 세계 적 인 입지 를 방어 하 기 위한 노력 의 중요 한 부분 이 다 .	0.0
45	46	HSBC 는 멕시코 사업 부 를 통해 마약 카르텔 에 의한 자금 세탁 을 막 지 못한 은행 으로 인해 2012 년 19 억 달러 합의 의 일환 으로 금융 범죄 준수 에 수억 달러 를 투자 해야 했 다 .	HSBC 는 멕시코 사업 부 를 통해 마약 카르텔 의 자금 세탁 을 막 지 못한 혐의 로 2012 년 19 억 달러 합의 의 일환 으로 금융 범죄 준수 에 수억 달러 를 투자 해야 했 다 .	0.1282
46	47	이 시스템 은 개별 고객 을 매핑 하 는 방식 으로 작동 하 며 , 기업 은 서로 연결 된 후 비 정상 적 인 거래 패턴 을 찾 거나 이전 에 알려 지 지 않 은 기업 간 의 연결 을 찾 아 냅니다 .	이 시스템 은 개별 고객 과 기업 이 서로 연결 되 도록 매핑 한 후 비 정상 적 인 거래 패턴 을 찾 거나 이전 에 알려 지 지 않 은 기업 간 의 연결 을 찾 는 방식 으로 작동 합니다 .	0.3023
47	48	"HSBC 무역 사업 의 최고 운영 책임자 인 Adrian Rigby 는 "" 이 시스템 은 이미 400 명 이상 의 직원 이 거래 와 기록 을 수동 으로 확인 하 는 것 에서 고객 을 응대 하 는 역할 로 전환 하 도록 해 주 었 다 "" 고 말 했 다 ."	"HSBC 무역 사업 의 최고 운영 책임자 인 Adrian Rigby 는 "" 이 시스템 은 이미 400 명 이상 의 직원 이 거래 와 기록 을 수동 으로 확인 하 는 것 에서 고객 을 응대 하 는 역할 로 전환 하 도록 해 주 었 다 "" 고 말 했 다 ."	0.0
48	49	"HSBC 의 니비 슨 기자 는 이 도구 의 용도 가 잘못 된 행위 에 대한 "" 적색 플래그 "" 보다 는 매력 적 인 잠재 고객 들 의 "" 녹색 플래그 "" 를 찾 는 것 으로 바뀔 수 있 음 을 깨닫 고 있 다고 말 했 다 ."	"HSBC 의 니비 슨 기자 는 이 도구 의 용도 가 잘못 된 행위 에 대한 "" 적색 플래그 "" 보다 는 매력 적 인 잠재 고객 들 의 "" 녹색 플래그 "" 를 찾 는 것 으로 바뀔 수 있 음 을 깨닫 고 있 다고 말 했 다 ."	0.0
49	50	"Nivison 은 "" 고객 데이터 셋 을 가져와서 ( 영국 의 ) Companies House 데이터 와 결합 하 고 알고리즘 을 전환 하 여 섹터 , 기업 의 성장 , 기존 고객 과 의 연결 등 고객 의 매력 에 대해 알아보 았 다 "" 고 말 했 다 ."	"Nivison 은 "" 고객 데이터 셋 을 가져와서 ( 영국 의 ) Companies House 데이터 와 결합 하 고 알고리즘 을 전환 하 여 섹터 , 기업 의 성장 , 기존 고객 과 의 연결 등 고객 의 매력 에 대해 알아보 았 다 "" 고 말 했 다 ."	0.0
50	51	그 는 이 도구 에 의해 영국 내 2 , 250 만 개 의 기업 과 사람 들 이 지도 를 작성 했으며 , 직원 이 수동 으로 지도 를 작성 하 는 데 3 시간 이 걸렸 을 연결망 을 3 분 안 에 식별 할 수 있 다고 말 했 다 .	그 는 이 도구 에 의해 영국 내 2 , 250 만 개 의 기업 과 사람 들 이 지도 를 작성 했으며 , 직원 이 수동 으로 지도 를 작성 하 는 데 3 시간 이 걸렸 을 연결망 을 3 분 안 에 식별 할 수 있 다고 말 했 다 .	0.0
51	52	클로이 카다시안 의 바람둥이 트리스탄 톰슨 이 그녀 의 인 스타 그램 사진 에 또 다른 절망 적 인 댓글 을 남긴다 .	클로이 카다시안 의 바람둥이 트리스탄 톰슨 이 그녀 의 인 스타 그램 사진 에 또 다른 절망 적 인 댓글 을 남긴다 .	0.0
52	53	KLOE 카다시안 의 바람둥이 트리스탄 톰슨 이 그녀 의 인 스타 그램 에 그녀 를 되찾 고 싶 다는 루머 에 이어 또 다른 절박 한 댓글 을 남겼 다 .	KLOE 카다시안 의 바람둥이 트리스탄 톰슨 이 그녀 의 인 스타 그램 에 그녀 를 되찾 고 싶 다는 루머 에 이어 또 다른 절박 한 댓글 을 남겼 다 .	0.0
53	54	이 35 세 의 스타 는 올해 초 가족 친구 인 조딘 우즈 와 바람 을 피운 혐의 를 받 은 후 NBA 선수 를 영원히 차 버렸 다 . 이전 에 그녀 가 그 들 의 딸 트루 와 임신 9 개월 때 바람 을 피운 적 이 있 다 .	이 35 세 의 스타 는 올해 초 가족 친구 인 조딘 우즈 와 바람 을 피운 혐의 를 받 은 후 NBA 선수 를 영원히 차 버렸 다 . 이전 에 그녀 가 그 들 의 딸 트루 와 임신 9 개월 때 바람 을 피운 적 이 있 다 .	0.0
54	55	트리스탄 은 클로이 의 인 스타 그램 페이지 에 또 다른 찬사 를 남기 는 것 이 목격 되 었 다 .	트리스탄 은 클로이 의 인 스타 그램 페이지 에 또 다른 찬사 를 남기 는 것 이 목격 되 었 다 .	0.0
55	56	그러나 28 세 의 트리스탄 은 싸우 지 않 고 포기 하 기 를 거부 하 고 있 다 - 그 의 전 여자 친구 의 최근 셀카 에 대해 오글거리 는 칭찬 을 남기 고 있 다 .	그러나 28 세 의 트리스탄 은 그 의 전 여자 친구 의 최근 셀카 에 대해 오글거리 는 찬사 를 남기 며 싸우 지 않 고 포기 하 기 를 거부 하 고 있 다 .	0.2222
56	57	"흐릿 한 스냅 속 에서 클로이 는 떠오르 는 태양 앞 에 서 서 "" 당신 이 꿈꾸 는 모든 꿈 을 탐험 할 용기 를 가지 길 "" 이 라는 한 사람 의 엄마 자막 이 달린 사진 을 찍 는다 . """	"흐릿 한 스냅 속 에서 클로이 는 떠오르 는 태양 앞 에 서 서 "" 당신 이 꿈꾸 는 모든 꿈 을 탐험 할 용기 를 가지 길 "" 이 라는 한 사람 의 엄마 자막 이 달린 사진 을 찍 는다 . """	0.0
57	58	"트리스탄 은 "" 태양 은 아름다운 [ 다이아몬드 ] 이모티콘 을 밝 게 비추 고 있 다 . """	"트리스탄 은 "" 태양 은 아름다운 [ 다이아몬드 ] 이모티콘 을 밝 게 비추 고 있 다 . """	0.0
58	59	"팬 들 은 "" 그래 , 네 가 떨어뜨린 다이아몬드 "" 라고 대답 하 며 이 말 에 격분 했 다 . """	"팬 들 은 "" 그래 , 네 가 떨어뜨린 다이아몬드 "" 라고 대답 하 며 이 말 에 격분 했 다 . """	0.0
59	60	트리스탄 은 임신 9 개월 때 클로이 를 두 고 바람 을 피웠 다 .	트리스탄 은 임신 9 개월 때 클로이 를 두 고 바람 을 피웠 다 .	0.0
60	61	"다른 사람 은 "" 인 스타 그램 에서 내려 "" 라고 조언 했 다 . """	"다른 사람 은 "" 인 스타 그램 에서 내려 "" 라고 조언 했 다 . """	0.0
61	62	"세 번 째 글 은 "" 속지 마 클로이 . "" 라고 썼 다 ."	"세 번 째 글 은 "" 속지 마 클로이 . "" 라고 썼 다 ."	0.0
62	63	"트리스탄 은 "" 완벽 함 "" 이라고 쓴 지 며칠 만 에 나온 사진 인데 , 이 사진 에 는 트리스탄 의 ' 게스 진 ' 모델 인 하트 아이 이 모지 가 나온다 ."	"트리스탄 은 "" 완벽 함 "" 이라고 쓴 지 며칠 만 에 나온 사진 인데 , 이 사진 에 는 트리스탄 의 ' 게스 진 ' 모델 인 하트 아이 이 모지 가 나온다 ."	0.0
63	64	이달 초 , 더 선 은 드레이크 의 조언 에 따라 트리스탄 이 클로이 를 되찾 기 위해 40 만 파운드 의 포르쉐 를 샀 다고 밝혔 다 .	더 선 은 이달 초 드레이크 의 조언 에 따라 트리스탄 이 클로이 에게 40 만 파운드 의 포르쉐 를 사 줬 다고 밝혔 다 .	0.3077
64	65	그 후 그 는 카다시안 가족 친구 인 조딘 우즈 와 함께 올해 초 또 다시 부정행위 를 한 혐의 로 기소 되 었 다 .	그 는 올해 초 또 다시 카다시안 가족 친구 인 조딘 우즈 와 바람 을 피운 혐의 로 기소 됐 다 .	0.4091
65	66	"그 는 911 로 생각 되 는 굽실거리 는 선물 에 대해 래퍼 친구 로부터 "" 파워 무 브 "" 를 당길 것 을 권유 받 은 후 마음 을 정했 다 ."	"그 는 911 로 생각 되 는 굽실거리 는 선물 에 대해 래퍼 친구 로부터 "" 파워 무 브 "" 를 당길 것 을 권유 받 은 후 마음 을 정했 다 ."	0.0
66	67	그 결과 , 친구 들 은 트리스탄 이 클로이 로부터 그녀 의 저택 에서 열린 ' 타코 화요일 ' 만찬 초대 까지 받 았 다고 말 했 다 . 트리스탄 은 이 리얼리티 스타 와 17 개월 된 딸 트루 와 의 재회 에 한 발짝 다가섰 다 .	그 결과 친구 들 은 트리스탄 이 클로이 로부터 그녀 의 저택 에서 열린 ' 타코 화요일 ' 저녁 식사 에 초대 받 았 다고 말 했 다 . 트리스탄 은 이 리얼리티 스타 와 17 개월 된 딸 트루 와 의 재회 에 한 발짝 다가섰 다 .	0.102
67	68	"소식통 은 "" 트리스탄 은 드레이크 와 좋 은 친구 이 며 그 가 카다시안 폴드 로 돌아갈 때 그 를 사운드 보드 로 사용 해 왔 다 "" 고 말 했 다 ."	"한 소식통 은 "" 트리스탄 은 드레이크 와 좋 은 친구 이 며 그 가 카다시안 종대 로 의 복귀 를 계획 할 때 그 를 사운드 보드 로 사용 해 왔 다 "" 고 말 했 다 ."	0.1795
68	69	클로이 는 트리스탄 의 불륜 에 가슴 아파했 다 .	클로이 는 트리스탄 의 불륜 에 가슴 아파했 다 .	0.0
69	70	""" 드레이크 는 클로이 를 되찾 고 싶 다면 모든 수단 을 동원 하 라고 말 했 습니다 ."	""" 드레이크 는 클로이 를 되찾 고 싶 다면 모든 수단 을 동원 하 라고 했 습니다 . """	0.1053
70	71	""" 간편 한 저녁 식사 에 초대 하 는 것 은 날렵 한 슈퍼카 와 는 어울리 지 않 을 수 도 있 습니다 ."	""" 간편 한 저녁 식사 에 초대 하 는 것 은 날렵 한 슈퍼카 와 는 어울리 지 않 을 수 도 있 습니다 . """	0.0385
71	72	"그 는 "" 그러나 트리스탄 의 행동 이후 클로이 가 자신 을 위해 레드 카펫 을 깔 기 를 기대 할 수 없 다 "" 고 말 했 다 . """	"그 는 "" 그러나 트리스탄 의 행동 이후 클로이 가 자신 을 위해 레드 카펫 을 깔 기 를 기대 할 수 없 다 "" 고 말 했 다 . """	0.0
